time_s,q_rad,q_deg,qd_rad,qd_deg,qdot_rad_s,qd_dot_rad_s,e_rad,edot_rad_s,tau_cmd_Nm,tq_cmd_permille,pos_counts
0.000000,1.702067,97.521240,0.034907,2.000000,17.020667,0.000000,-1.667160,-17.020667,-33.517736,-1000.000000,88766
0.008166,1.702067,97.521240,0.036619,2.098098,16.169634,0.000000,-1.665448,-16.169634,-33.066537,-1000.000000,88766
0.016227,1.702067,97.521240,0.038331,2.196196,15.361152,0.342427,-1.663736,-15.018725,-32.465401,-1000.000000,88766
0.025157,1.702067,97.521240,0.040043,2.294294,14.593095,0.342427,-1.662024,-14.250668,-32.055690,-1000.000000,88766
0.034119,1.702067,97.521240,0.041755,2.392392,13.863440,0.342427,-1.660312,-13.521013,-31.665181,-1000.000000,88766
0.042110,1.702067,97.521240,0.043467,2.490490,13.170268,0.342427,-1.658599,-12.827841,-31.292913,-1000.000000,88766
0.050076,1.702067,97.521240,0.045179,2.588589,12.511755,0.342427,-1.656887,-12.169328,-30.937974,-1000.000000,88766
0.059108,1.702067,97.521240,0.046892,2.686687,11.886167,0.342427,-1.655175,-11.543740,-30.599498,-1000.000000,88766
0.067103,1.702067,97.521240,0.048604,2.784785,11.291858,0.342427,-1.653463,-10.949431,-30.276662,-1000.000000,88766
0.075125,1.702067,97.521240,0.050316,2.882883,10.727266,0.342427,-1.651751,-10.384839,-29.968683,-1000.000000,88766
0.084093,1.702067,97.521240,0.052028,2.980981,10.190902,0.342427,-1.650039,-9.848475,-29.674820,-1000.000000,88766
0.092070,1.702067,97.521240,0.053740,3.079079,9.681357,0.342427,-1.648327,-9.338930,-29.394365,-1000.000000,88766
0.100074,1.702067,97.521240,0.055452,3.177177,9.197289,0.342427,-1.646615,-8.854862,-29.126649,-1000.000000,88766
0.108113,1.702067,97.521240,0.057164,3.275275,8.737425,0.342427,-1.644902,-8.394998,-28.871035,-1000.000000,88766
0.116022,1.702067,97.521240,0.058876,3.373373,8.300554,0.342427,-1.643190,-7.958127,-28.626917,-1000.000000,88766
0.124094,1.702067,97.521240,0.060589,3.471471,7.885526,0.342427,-1.641478,-7.543099,-28.393721,-1000.000000,88766
0.132067,1.702067,97.521240,0.062301,3.569570,7.491250,0.342427,-1.639766,-7.148823,-28.170901,-1000.000000,88766
0.140115,1.702067,97.521240,0.064013,3.667668,7.116687,0.342427,-1.638054,-6.774260,-27.957938,-1000.000000,88766
0.148063,1.702067,97.521240,0.065725,3.765766,6.760853,0.342427,-1.636342,-6.418426,-27.754339,-1000.000000,88766
0.156115,1.702067,97.521240,0.067437,3.863864,6.422810,0.342427,-1.634630,-6.080383,-27.559635,-1000.000000,88766
0.164071,1.702067,97.521240,0.069149,3.961962,6.101670,0.342427,-1.632917,-5.759243,-27.373383,-1000.000000,88766
0.172101,1.702067,97.521240,0.070861,4.060060,5.796586,0.342427,-1.631205,-5.454159,-27.195159,-1000.000000,88766
0.180079,1.702067,97.521240,0.072574,4.158158,5.506757,0.342427,-1.629493,-5.164330,-27.024563,-1000.000000,88766
0.188148,1.702067,97.521240,0.074286,4.256256,5.231419,0.342427,-1.627781,-4.888992,-26.861212,-1000.000000,88766
0.196079,1.702067,97.521240,0.075998,4.354354,4.969848,0.342427,-1.626069,-4.627421,-26.704744,-1000.000000,88766
0.204109,1.702067,97.521240,0.077710,4.452452,4.721356,0.342427,-1.624357,-4.378929,-26.554816,-1000.000000,88766
0.213043,1.702067,97.521240,0.079422,4.550551,4.485288,0.342427,-1.622645,-4.142861,-26.411100,-1000.000000,88766
0.221107,1.702067,97.521240,0.081134,4.648649,4.261023,0.342427,-1.620933,-3.918597,-26.273286,-1000.000000,88766
0.229047,1.702067,97.521240,0.082846,4.746747,4.047972,0.342427,-1.619220,-3.705545,-26.141078,-1000.000000,88766
0.237102,1.702067,97.521240,0.084558,4.844845,3.845574,0.342427,-1.617508,-3.503147,-26.014197,-1000.000000,88766
0.245086,1.702067,97.521240,0.086271,4.942943,3.653295,0.342427,-1.615796,-3.310868,-25.892376,-1000.000000,88766
0.253104,1.702067,97.521240,0.087983,5.041041,3.470630,0.342427,-1.614084,-3.128203,-25.775361,-1000.000000,88766
0.262048,1.702067,97.521240,0.089695,5.139139,3.297099,0.342427,-1.612372,-2.954672,-25.662913,-1000.000000,88766
0.270114,1.702067,97.521240,0.091407,5.237237,3.132244,0.342427,-1.610660,-2.789817,-25.554804,-1000.000000,88766
0.279093,1.702067,97.521240,0.093119,5.335335,2.975632,0.342427,-1.608948,-2.633205,-25.450816,-1000.000000,88766
0.287111,1.702067,97.521240,0.094831,5.433433,2.826850,0.342427,-1.607235,-2.484423,-25.350743,-1000.000000,88766
0.295122,1.702067,97.521240,0.096543,5.531532,2.685508,0.342427,-1.605523,-2.343081,-25.254390,-1000.000000,88766
0.304099,1.702067,97.521240,0.098256,5.629630,2.551232,0.342427,-1.603811,-2.208805,-25.161570,-1000.000000,88766
0.313044,1.702067,97.521240,0.099968,5.727728,2.423671,0.342427,-1.602099,-2.081244,-25.072107,-1000.000000,88766
0.322130,1.702067,97.521240,0.101680,5.825826,2.302487,0.342427,-1.600387,-1.960060,-24.985833,-1000.000000,88766
0.331036,1.702067,97.521240,0.103392,5.923924,2.187363,0.342427,-1.598675,-1.844936,-24.902589,-1000.000000,88766
0.339137,1.702067,97.521240,0.105104,6.022022,2.077995,0.342427,-1.596963,-1.735568,-24.822223,-1000.000000,88766
0.349088,1.702067,97.521240,0.106816,6.120120,1.974095,0.342427,-1.595250,-1.631668,-24.744591,-1000.000000,88766
0.357147,1.702067,97.521240,0.108528,6.218218,1.875390,0.342427,-1.593538,-1.532963,-24.669557,-1000.000000,88766
0.366045,1.702067,97.521240,0.110241,6.316316,1.781621,0.342427,-1.591826,-1.439194,-24.596990,-1000.000000,88766
0.375347,1.702067,97.521240,0.111953,6.414414,1.692540,0.342427,-1.590114,-1.350113,-24.526768,-1000.000000,88766
0.384216,1.702067,97.521240,0.113665,6.512513,1.607913,0.342427,-1.588402,-1.265486,-24.458772,-1000.000000,88766
0.394086,1.702067,97.521240,0.115377,6.610611,1.527517,0.342427,-1.586690,-1.185090,-24.392892,-1000.000000,88766
0.402122,1.702067,97.521240,0.117089,6.708709,1.451141,0.342427,-1.584978,-1.108714,-24.329022,-1000.000000,88766
0.412063,1.702067,97.521240,0.118801,6.806807,1.378584,0.342427,-1.583266,-1.036157,-24.267062,-1000.000000,88766
0.420146,1.702067,97.521240,0.120513,6.904905,1.309655,0.342427,-1.581553,-0.967228,-24.206915,-1000.000000,88766
0.429044,1.702067,97.521240,0.122225,7.003003,1.244172,0.342427,-1.579841,-0.901745,-24.148492,-1000.000000,88766
