time_s,q_rad,q_dot,q_ddot,tau_joint_Nm,tau_motor_load_Nm,tau_motor_rotor_Nm,tau_motor_friction_Nm,tau_motor_total_Nm
0.0,0.575021183716582,-0.1715694852163042,-5.7340226511447225,0.3372902183003473,0.005621503638339121,-0.1321118818823744,-0.01370910372022575,-0.11278127452380952
0.002,0.5746667127727592,-0.18283342265043084,-5.52991478298194,0.34108494347887386,0.005684749057981231,-0.1274092365999039,-0.014604297025079377,-0.10712019051684331
0.004,0.5742901221698045,-0.19368914434823198,-5.325806914819157,0.34486421766387265,0.005747736961064545,-0.12270659131743339,-0.015466178901231626,-0.10149267545513721
0.006,0.5738922283391904,-0.2041366503097075,-5.121699046656375,0.34862859798936763,0.0058104766331561275,-0.11800394603496289,-0.016294798856342056,-0.0958986705454647
0.008,0.5734738477123899,-0.21417594053485745,-4.917591178493594,0.352378641558797,0.005872977359313284,-0.11330130075249241,-0.017090213487798513,-0.0903381099053806
0.01,0.5730357967208752,-0.22380701502368186,-4.713483310330811,0.35611490552272684,0.0059352484253787805,-0.10859865547002188,-0.01785248541474808,-0.08481092162989502
0.012,0.5725788917961193,-0.23302987377618067,-4.509375442168029,0.3598379471533732,0.005997299119222887,-0.10389601018755139,-0.018581682256748954,-0.07931702881157954
0.014,0.5721039493695947,-0.24184451679235397,-4.305267574005247,0.3635483239159184,0.006059138731931974,-0.09919336490508089,-0.0192778756592308,-0.07385635051391812
0.016,0.5716117858727742,-0.25025094407220166,-4.101159705842464,0.36724659353661615,0.006120776558943603,-0.09449071962261037,-0.019941140365779198,-0.06842880269788756
0.018000000000000002,0.5711032177371301,-0.2582491556157238,-3.8970518376796823,0.37093331406767677,0.0061822219011279465,-0.08978807434013988,-0.020571553337110065,-0.06303429910190186
0.02,0.5705790613941355,-0.2658391514229204,-3.6929439695168997,0.3746090439489342,0.00624348406581557,-0.08508542905766937,-0.021169192916470906,-0.0576727520753829
0.022,0.5700401332752627,-0.2730209314937915,-3.4888361013541176,0.3782743420662868,0.006304572367771447,-0.08038278377519888,-0.021734138041097074,-0.05234407336633036
0.024,0.5694872498119845,-0.2797944958283369,-3.284728233191335,0.38192976780692,0.0063654961301153334,-0.07568013849272837,-0.02226646749926065,-0.04704817486335239
0.026000000000000002,0.5689212274357736,-0.2861598444265568,-3.080620365028553,0.38557588111130864,0.006426264685188477,-0.07097749321025786,-0.02276625923237703,-0.04178496929269235
0.028,0.5683428825781025,-0.2921169772884511,-2.8765124968657707,0.3892132425220056,0.0064868873753667605,-0.06627484792778736,-0.023233589681577793,-0.0365543708708428
0.03,0.5677530316704309,-0.29766589441400937,-2.6724046286875875,0.39284241322952135,0.006547373553825356,-0.06157220264496202,-0.023668533178116527,-0.03135629591302014
0.032,0.5671578008428878,-0.3042170632778787,-2.5184106272658937,0.39547541287751026,0.0065912568812918374,-0.058024180852206196,-0.024181577372012937,-0.027251346598901424
0.034,0.566549398989211,-0.310086869246712,-2.3219373459675126,0.39894013232436004,0.006649002205406001,-0.05349743645109149,-0.024640831318122017,-0.022207602927563477
0.036000000000000004,0.5659290264298317,-0.31510289147104964,-2.090486787487748,0.4030888612438807,0.006718147687398012,-0.04816481558371772,-0.02503295704904414,-0.016413710847275567
0.038,0.5652980833077946,-0.3191499925952428,-1.8328098458554791,0.40774930227385353,0.006795821704564225,-0.04222793884851024,-0.025349113993807904,-0.01008300315013811
0.04,0.5646581695887569,-0.3221791222169992,-1.5589063064286677,0.4127245713583706,0.006878742855972843,-0.035917201300116504,-0.025585615351861407,-0.0034528430922822553
0.042,0.5640110850609892,-0.3242161203468208,-1.2800248458976569,0.4177931980927485,0.006963219968212475,-0.029491772449482017,-0.025744591104413107,0.0032160386231435655
0.044,0.5633588293353747,-0.32537052086751594,-1.0086630322835504,0.4227091260662743,0.007045152101104572,-0.023239596263813,-0.02583466221208588,0.009640218049377453
0.046,0.5627036018454099,-0.32584435499364406,-0.7585673249387526,0.4272017131970765,0.007120028553284609,-0.01747739116658886,-0.025871627862001235,0.015514265248696986
