t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_link_deg,tau_joint_ff_Nm,tau_motor_ff_Nm,tau_dead_motor_Nm,tau_motor_cmd_before_clamp_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0.000000,0.000000,943.265500,0.000000,0.154907,0.000000,0.000000,0.160200,0.160200,0.160200,0.000000,141,0
0.002000,1.886531,942.799250,0.000000,0.158203,0.027289,0.000426,0.160200,0.160626,0.160626,0.162336,144,31
0.004000,3.771197,941.400750,-37.220226,0.212036,-1.155722,-0.018058,0.160200,0.142142,0.142142,0.160200,193,76
0.006000,5.652134,939.071000,-55.784328,0.317505,-1.732228,-0.027066,0.160200,0.133134,0.133134,0.138840,289,89
0.008000,7.527481,935.812750,-74.293267,0.457031,-2.307108,-0.036049,0.160200,0.124151,0.124151,0.137772,416,96
0.010000,9.395385,931.629250,-92.728741,0.564697,-2.879822,-0.044997,0.160200,0.115203,0.115203,0.122820,514,68
0.012000,11.253998,926.524500,-111.072519,0.678955,-3.449831,-0.053904,0.160200,0.106296,0.106296,0.113208,618,58
0.014000,13.101483,920.503500,-129.306462,0.747070,-4.016595,-0.062759,0.160200,0.097441,0.097441,0.107868,680,49
0.016000,14.936012,913.572250,-147.412541,0.804199,-4.579577,-0.071556,0.160200,0.088644,0.088644,0.095052,732,43
0.018000,16.755772,905.737500,-165.372849,0.855835,-5.138244,-0.080285,0.160200,0.079915,0.079915,0.086508,779,35
0.020000,18.558962,897.007250,-183.169628,0.897583,-5.692061,-0.088938,0.160200,0.071262,0.071262,0.080100,817,25
0.022000,20.343801,887.390000,-200.785278,0.932739,-6.240499,-0.097508,0.160200,0.062692,0.062692,0.068352,849,16
0.024000,22.108522,876.895000,-218.202380,0.951416,-6.783031,-0.105985,0.160200,0.054215,0.054215,0.066216,866,9
0.026000,23.851381,865.533250,-235.403712,0.960205,-7.319132,-0.114361,0.160200,0.045839,0.045839,0.054468,874,3
0.028000,25.570655,853.315500,-252.372264,0.963501,-7.848282,-0.122629,0.160200,0.037571,0.037571,0.044856,877,2
0.030000,27.264643,840.253750,-269.091255,0.963501,-8.369964,-0.130781,0.160200,0.029419,0.029419,0.035244,877,0
0.032000,28.931670,826.361000,-285.544154,0.963501,-8.883667,-0.138807,0.160200,0.021393,0.021393,0.029904,877,0
0.034000,30.570087,811.651500,-301.714692,0.963501,-9.388885,-0.146701,0.160200,0.013499,0.013499,0.027768,877,0
0.036000,32.178276,796.139500,-317.586877,0.963501,-9.885117,-0.154455,0.160200,0.005745,0.005745,0.013884,877,0
0.038000,33.754645,779.839750,-333.145014,0.962402,-10.371868,-0.162060,0.160200,-0.001860,-0.001860,0.005340,876,0
0.040000,35.297635,762.769000,-348.373719,0.961304,-10.848649,-0.169510,0.160200,-0.009310,-0.009310,-0.001068,875,-1
0.042000,36.805721,744.944000,-363.257932,0.958008,-11.314981,-0.176797,0.160200,-0.016597,-0.016597,-0.004272,872,-4
0.044000,38.277411,726.382500,-377.782936,0.951416,-11.770390,-0.183912,0.160200,-0.023712,-0.023712,-0.017088,866,-6
0.046000,39.711251,707.102750,-391.934367,0.943726,-12.214412,-0.190850,0.160200,-0.030650,-0.030650,-0.026700,859,-8
0.048000,41.105822,687.123500,-405.698231,0.933838,-12.646592,-0.197603,0.160200,-0.037403,-0.037403,-0.032040,850,-8
0.050000,42.459745,666.465000,-419.060918,0.922852,-13.066483,-0.204164,0.160200,-0.043964,-0.043964,-0.033108,840,-9
0.052000,43.771682,645.147500,-432.009215,0.907471,-13.473652,-0.210526,0.160200,-0.050326,-0.050326,-0.041652,826,-11
0.054000,45.040335,623.191750,-444.530316,0.894287,-13.867672,-0.216682,0.160200,-0.056482,-0.056482,-0.051264,814,-8
0.056000,46.264449,600.619750,-456.611842,0.880005,-14.248133,-0.222627,0.160200,-0.062427,-0.062427,-0.057672,801,-7
0.058000,47.442814,577.454250,-468.241844,0.870117,-14.614633,-0.228354,0.160200,-0.068154,-0.068154,-0.060876,792,-8
0.060000,48.574266,553.717500,-479.408822,0.859131,-14.966784,-0.233856,0.160200,-0.073656,-0.073656,-0.068352,782,-8
0.062000,49.657684,529.433000,-490.101734,0.848145,-15.304213,-0.239128,0.160200,-0.078928,-0.078928,-0.074760,772,-12
0.064000,50.691998,504.625250,-500.310006,0.832764,-15.626559,-0.244165,0.160200,-0.083965,-0.083965,-0.076896,758,-15
0.066000,51.676185,479.318500,-510.023544,0.810791,-15.933476,-0.248961,0.160200,-0.088761,-0.088761,-0.084372,738,-15
0.068000,52.609272,453.537750,-519.232741,0.786621,-16.224636,-0.253510,0.160200,-0.093310,-0.093310,-0.086508,716,-21
0.070000,53.490336,427.308250,-527.928493,0.755859,-16.499722,-0.257808,0.160200,-0.097608,-0.097608,-0.097188,688,-29
0.072000,54.318505,400.656500,-536.102199,0.713013,-16.758437,-0.261851,0.160200,-0.101651,-0.101651,-0.098256,649,-27
0.074000,55.092962,373.608500,-543.745778,0.672363,-17.000500,-0.265633,0.160200,-0.105433,-0.105433,-0.103596,612,-31
0.076000,55.812939,346.191000,-550.851670,0.629517,-17.225647,-0.269151,0.160200,-0.108951,-0.108951,-0.106800,573,-31
0.078000,56.477726,318.431250,-557.412850,0.592163,-17.433630,-0.272400,0.160200,-0.112200,-0.112200,-0.108936,539,-32
0.080000,57.086664,290.356250,-563.422828,0.552612,-17.624223,-0.275378,0.160200,-0.115178,-0.115178,-0.117480,503,-25
0.082000,57.639151,261.994500,-568.875663,0.506470,-17.797215,-0.278081,0.160200,-0.117881,-0.117881,-0.112140,461,-33
0.084000,58.134642,233.373750,-573.765962,0.448242,-17.952416,-0.280507,0.160200,-0.120307,-0.120307,-0.118548,408,-35
0.086000,58.572646,204.522000,-578.088888,0.394409,-18.089655,-0.282651,0.160200,-0.122451,-0.122451,-0.115344,359,-36
0.088000,58.952730,175.468250,-581.840169,0.337280,-18.208779,-0.284512,0.160200,-0.124312,-0.124312,-0.123888,307,-39
0.090000,59.274519,146.240750,-585.016093,0.290039,-18.309656,-0.286088,0.160200,-0.125888,-0.125888,-0.122820,264,-41
0.092000,59.537693,116.868500,-587.613520,0.230713,-18.392176,-0.287378,0.160200,-0.127178,-0.127178,-0.126024,210,-56
0.094000,59.741993,87.381000,-589.629883,0.164795,-18.456245,-0.288379,0.160200,-0.128179,-0.128179,-0.130296,150,-51
0.096000,59.887217,57.807000,-591.063187,0.104370,-18.501794,-0.289091,0.160200,-0.128891,-0.128891,-0.130296,95,-47
0.098000,59.973221,28.176000,-591.912014,0.037354,-18.528771,-0.289512,0.160200,-0.129312,-0.129312,-0.130296,34,-56
0.100000,59.999921,-1.483000,-592.175526,-0.125244,-18.537146,-0.289643,-0.160200,-0.449843,-0.449843,-0.130296,-114,-49
0.102000,59.967289,-31.140750,-591.853461,-0.212036,-18.526910,-0.289483,-0.160200,-0.449683,-0.449683,-0.449628,-193,-135
0.104000,59.875358,-60.767500,-590.946139,-0.458130,-18.498074,-0.289032,-0.160200,-0.449232,-0.449232,-0.447492,-417,-274
0.106000,59.724219,-90.334250,-589.454456,-0.865723,-18.450671,-0.288292,-0.160200,-0.448492,-0.448492,-0.451764,-788,-336
0.108000,59.514021,-119.811500,-587.379888,-1.441406,-18.384753,-0.287262,-0.160200,-0.447462,-0.447462,-0.449628,-1312,-389
0.110000,59.244973,-149.170500,-584.724485,-2.029175,-18.300393,-0.285944,-0.160200,-0.446144,-0.446144,-0.449628,-1847,-438
0.112000,58.917339,-178.382000,-581.490875,-2.994873,-18.197685,-0.284339,-0.160200,-0.444539,-0.444539,-0.445356,-2726,-454
0.114000,58.531445,-207.416750,-577.682254,-3.662842,-18.076744,-0.282449,-0.160200,-0.442649,-0.442649,-0.444288,-3334,-476
0.116000,58.087672,-236.246500,-573.302388,-4.262695,-17.937702,-0.280277,-0.160200,-0.440477,-0.440477,-0.445356,-3880,-500
0.118000,57.586459,-264.842750,-568.355609,-5.055908,-17.780714,-0.277824,-0.160200,-0.438024,-0.438024,-0.440016,-4602,-513
0.120000,57.028301,-293.177250,-562.846808,-5.759033,-17.605953,-0.275093,-0.160200,-0.435293,-0.435293,-0.442152,-5242,-516
0.122000,56.413750,-321.221750,-556.781433,-6.418213,-17.413611,-0.272088,-0.160200,-0.432288,-0.432288,-0.434676,-5842,-519
0.124000,55.743414,-348.948750,-550.165481,-7.186157,-17.203901,-0.268811,-0.160200,-0.429011,-0.429011,-0.433608,-6541,-522
0.126000,55.017955,-376.330500,-543.005495,-7.881592,-16.977051,-0.265266,-0.160200,-0.425466,-0.425466,-0.430404,-7174,-508
0.128000,54.238092,-403.339750,-535.308555,-8.652832,-16.733311,-0.261458,-0.160200,-0.421658,-0.421658,-0.421860,-7876,-510
0.130000,53.404596,-429.950500,-527.082272,-9.415283,-16.472945,-0.257390,-0.160200,-0.417590,-0.417590,-0.423996,-8570,-500
0.132000,52.518290,-456.136500,-518.334780,-10.129395,-16.196238,-0.253066,-0.160200,-0.413266,-0.413266,-0.416520,-9220,-493
0.134000,51.580050,-481.871000,-509.074730,-10.774292,-15.903488,-0.248492,-0.160200,-0.408692,-0.408692,-0.413316,-9807,-486
0.136000,50.590806,-507.128750,-499.311279,-11.657593,-15.595013,-0.243672,-0.160200,-0.403872,-0.403872,-0.413316,-10611,-489
0.138000,49.551535,-531.885500,-489.054081,-12.388184,-15.271143,-0.238612,-0.160200,-0.398812,-0.398812,-0.411180,-11276,-481
0.140000,48.463264,-556.116250,-478.313278,-13.111084,-14.932225,-0.233316,-0.160200,-0.393516,-0.393516,-0.398364,-11934,-483
0.142000,47.327070,-579.796750,-467.099493,-13.818604,-14.578622,-0.227791,-0.160200,-0.387991,-0.387991,-0.418656,-12578,-476
0.144000,46.144077,-602.904250,-455.423814,-14.487671,-14.210709,-0.222042,-0.160200,-0.382242,-0.382242,-0.387684,-13187,-446
0.146000,44.915453,-625.415500,-443.297786,-15.142456,-13.828874,-0.216076,-0.160200,-0.376276,-0.376276,-0.380208,-13783,-434
0.148000,43.642415,-647.308250,-430.733401,-15.741211,-13.433520,-0.209899,-0.160200,-0.370099,-0.370099,-0.375936,-14328,-421
0.150000,42.326220,-668.560750,-417.743082,-16.353149,-13.025060,-0.203517,-0.160200,-0.363717,-0.363717,-0.372732,-14885,-435
0.152000,40.968172,-689.152250,-404.339676,-16.951904,-12.603919,-0.196936,-0.160200,-0.357136,-0.357136,-0.365256,-15430,-401
0.154000,39.569611,-709.062500,-390.536436,-17.557251,-12.170535,-0.190165,-0.160200,-0.350365,-0.350365,-0.357780,-15981,-398
0.156000,38.131922,-728.271250,-376.347012,-18.093384,-11.725354,-0.183209,-0.160200,-0.343409,-0.343409,-0.350304,-16469,-360
0.158000,36.656526,-746.760000,-361.785435,-18.625122,-11.268832,-0.176075,-0.160200,-0.336275,-0.336275,-0.348168,-16953,-399
0.160000,35.144882,-764.510500,-346.866104,-19.131592,-10.801433,-0.168772,-0.160200,-0.328972,-0.328972,-0.340692,-17414,-366
0.162000,33.598484,-781.504750,-331.603773,-19.619385,-10.323633,-0.161307,-0.160200,-0.321507,-0.321507,-0.326808,-17858,-367
0.164000,32.018863,-797.726250,-316.013534,-20.085205,-9.835912,-0.153686,-0.160200,-0.313886,-0.313886,-0.321468,-18282,-321
0.166000,30.407579,-813.159000,-300.110802,-20.532349,-9.338760,-0.145918,-0.160200,-0.306118,-0.306118,-0.315060,-18689,-308
0.168000,28.766227,-827.787250,-283.911305,-20.915771,-8.832671,-0.138010,-0.160200,-0.298210,-0.298210,-0.302244,-19038,-319
0.170000,27.096430,-841.597500,-267.431059,-21.344238,-8.318146,-0.129971,-0.160200,-0.290171,-0.290171,-0.294768,-19428,-273
0.172000,25.399837,-854.575500,-250.686364,-21.782593,-7.795694,-0.121808,-0.160200,-0.282008,-0.282008,-0.286224,-19827,-265
0.174000,23.678128,-866.708000,-233.693775,-22.213257,-7.265826,-0.113529,-0.160200,-0.273729,-0.273729,-0.281952,-20219,-263
0.176000,21.933005,-877.983750,-216.470097,-22.605469,-6.729059,-0.105142,-0.160200,-0.265342,-0.265342,-0.269136,-20576,-250
0.178000,20.166193,-888.391250,-199.032362,-23.019653,-6.185913,-0.096655,-0.160200,-0.256855,-0.256855,-0.264864,-20953,-259
0.180000,18.379440,-897.920250,-181.397812,-23.367920,-5.636913,-0.088077,-0.160200,-0.248277,-0.248277,-0.257388,-21270,-220
0.182000,16.574512,-906.561500,-163.583885,-23.734863,-5.082587,-0.079415,-0.160200,-0.239615,-0.239615,-0.250980,-21604,-215
0.184000,14.753194,-914.306250,-145.608198,-24.164429,-4.523464,-0.070679,-0.160200,-0.230879,-0.230879,-0.238164,-21995,-183
0.186000,12.917287,-921.146750,-127.488525,-24.431396,-3.960079,-0.061876,-0.160200,-0.222076,-0.222076,-0.230688,-22238,-188
0.188000,11.068607,-927.076250,-109.242785,-24.661011,-3.392967,-0.053015,-0.160200,-0.213215,-0.213215,-0.225348,-22447,-171
0.190000,9.208982,-932.089000,-90.889019,-24.897217,-2.822664,-0.044104,-0.160200,-0.204304,-0.204304,-0.217872,-22662,-148
0.192000,7.340251,-936.180250,-72.445377,-25.089478,-2.249709,-0.035152,-0.160200,-0.195352,-0.195352,-0.199716,-22837,-156
0.194000,5.464261,-939.345750,-53.930097,-25.315796,-1.674642,-0.026166,-0.160200,-0.186366,-0.186366,-0.196512,-23043,-152
0.196000,3.582868,-941.582500,-35.361488,-25.503662,-1.098003,-0.017156,-0.160200,-0.177356,-0.177356,-0.190104,-23214,-139
0.198000,1.697931,-942.888000,-16.757912,-25.697021,-0.520334,-0.008130,-0.160200,-0.168330,-0.168330,-0.176220,-23390,-119
0.200000,-0.188684,-943.261000,1.862236,-25.875000,0.057822,0.000903,-0.160200,-0.159297,-0.159297,-0.167676,-23552,-95
0.202000,-2.075113,-942.701250,20.480542,-26.028809,0.635924,0.009936,-0.160200,-0.150264,-0.150264,-0.154860,-23692,-101
0.204000,-3.959489,-941.209500,39.078596,-26.152954,1.213430,0.018960,-0.160200,-0.141240,-0.141240,-0.150588,-23805,-86
0.206000,-5.839951,-938.787000,57.638006,-26.277100,1.789798,0.027966,-0.160200,-0.132234,-0.132234,-0.140976,-23918,-66
0.208000,-7.714637,-935.436000,76.140422,-26.378174,2.364486,0.036945,-0.160200,-0.123255,-0.123255,-0.133500,-24010,-63
0.210000,-9.581695,-931.160250,94.567545,-26.477051,2.936954,0.045890,-0.160200,-0.114310,-0.114310,-0.123888,-24100,-53
0.212000,-11.439278,-925.963500,112.901154,-26.547363,3.506662,0.054792,-0.160200,-0.105408,-0.105408,-0.113208,-24164,-47
0.214000,-13.285549,-919.851000,131.123121,-26.619873,4.073072,0.063642,-0.160200,-0.096558,-0.096558,-0.104664,-24230,-31
0.216000,-15.118682,-912.829250,149.215425,-26.672607,4.635647,0.072432,-0.160200,-0.087768,-0.087768,-0.091848,-24278,-26
0.218000,-16.936866,-904.904750,167.160178,-26.706665,5.193852,0.081154,-0.160200,-0.079046,-0.079046,-0.087576,-24309,-20
0.220000,-18.738301,-896.085250,184.939632,-26.728638,5.747156,0.089799,-0.160200,-0.070401,-0.070401,-0.081168,-24329,-15
0.222000,-20.521207,-886.379750,202.536209,-26.746216,6.295027,0.098360,-0.160200,-0.061840,-0.061840,-0.071556,-24345,-10
0.224000,-22.283820,-875.797750,219.932506,-26.756104,6.836939,0.106827,-0.160200,-0.053373,-0.053373,-0.060876,-24354,-4
