t_s,q_joint_deg,qd_joint_deg_s,qdd_joint_deg_s2,tau_joint_ff_Nm,tau_dead_Nm,tau_joint_total_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_pos_deg_est,motor_vel_native
0.000000,0.000000,943.265500,0.000000,0.000000,0.160200,12.816000,0.160200,0.153792,-308,-108.281250,19
0.002000,1.886531,942.799250,0.000000,0.027289,0.160200,12.843289,0.160541,0.161268,-270,-94.921875,40
0.004000,3.771197,941.400750,-37.220226,0.041649,0.160200,12.857649,0.160721,0.161268,-212,-74.531250,55
0.006000,5.652134,939.071000,-55.784328,0.062349,0.160200,12.878349,0.160979,0.166608,-153,-53.789062,65
0.008000,7.527481,935.812750,-74.293267,0.082899,0.160200,12.898899,0.161236,0.162336,-84,-29.531250,53
0.010000,9.395385,931.629250,-92.728741,0.103253,0.160200,12.919253,0.161491,0.160200,-15,-5.273438,62
0.012000,11.253998,926.524500,-111.072519,0.123362,0.160200,12.939362,0.161742,0.163404,55,19.335938,67
0.014000,13.101483,920.503500,-129.306462,0.143183,0.160200,12.959183,0.161990,0.164472,128,45.000000,63
0.016000,14.936012,913.572250,-147.412541,0.162671,0.160200,12.978671,0.162233,0.161268,202,71.015625,64
0.018000,16.755772,905.737500,-165.372849,0.181786,0.160200,12.997786,0.162472,0.164472,274,96.328125,75
0.020000,18.558962,897.007250,-183.169628,0.200489,0.160200,13.016489,0.162706,0.164472,350,123.046875,65
0.022000,20.343801,887.390000,-200.785278,0.218745,0.160200,13.034745,0.162934,0.164472,424,149.062500,66
0.024000,22.108522,876.895000,-218.202380,0.236520,0.160200,13.052520,0.163156,0.164472,497,174.726562,71
0.026000,23.851381,865.533250,-235.403712,0.253784,0.160200,13.069784,0.163372,0.163404,573,201.445312,66
0.028000,25.570655,853.315500,-252.372264,0.270511,0.160200,13.086511,0.163581,0.166608,649,228.164062,69
0.030000,27.264643,840.253750,-269.091255,0.286677,0.160200,13.102677,0.163783,0.162336,731,256.992188,67
0.032000,28.931670,826.361000,-285.544154,0.302262,0.160200,13.118262,0.163978,0.165540,812,285.468750,66
0.034000,30.570087,811.651500,-301.714692,0.317249,0.160200,13.133249,0.164166,0.163404,889,312.539062,66
0.036000,32.178276,796.139500,-317.586877,0.331624,0.160200,13.147624,0.164345,0.166608,974,342.421875,77
0.038000,33.754645,779.839750,-333.145014,0.345377,0.160200,13.161377,0.164517,0.163404,1059,372.304688,79
