t_s,q_joint_deg,qd_joint_deg_s,qdd_joint_deg_s2,tau_joint_ff_Nm,tau_dead_Nm,tau_joint_total_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_pos_deg_est,motor_vel_native
0.000000,0.000000,471.633000,0.000000,0.000000,0.160200,12.816000,0.160200,0.159132,2,0.703125,16
0.002000,0.943266,471.399750,0.000000,0.013646,0.160200,12.829646,0.160371,0.161268,27,9.492188,36
0.004000,1.885599,470.700250,-18.610113,0.020839,0.160200,12.836839,0.160460,0.159132,70,24.609375,47
0.006000,2.826067,469.535500,-27.892164,0.031224,0.160200,12.847224,0.160590,0.159132,120,42.187500,50
0.008000,3.763741,467.906500,-37.146633,0.041567,0.160200,12.857567,0.160720,0.158064,173,60.820312,48
0.010000,4.697693,465.814500,-46.364370,0.051854,0.160200,12.867854,0.160848,0.162336,231,81.210938,51
0.012000,5.626999,463.262000,-55.536259,0.062073,0.160200,12.878073,0.160976,0.162336,295,103.710938,55
0.014000,6.550741,460.251750,-64.653231,0.072209,0.160200,12.888209,0.161103,0.159132,361,126.914062,59
0.016000,7.468006,456.786250,-73.706270,0.082249,0.160200,12.898249,0.161228,0.160200,428,150.468750,64
0.018000,8.377886,452.868750,-82.686425,0.092182,0.160200,12.908182,0.161352,0.160200,495,174.023438,69
0.020000,9.279481,448.503500,-91.584814,0.101994,0.160200,12.917994,0.161475,0.156996,564,198.281250,59
0.022000,10.171900,443.695000,-100.392639,0.111673,0.160200,12.927673,0.161596,0.161268,637,223.945312,70
0.024000,11.054261,438.447750,-109.101190,0.121209,0.160200,12.937209,0.161715,0.162336,710,249.609375,61
0.026000,11.925691,432.766500,-117.701856,0.130589,0.160200,12.946589,0.161832,0.166608,783,275.273438,75
0.028000,12.785327,426.657500,-126.186132,0.139804,0.160200,12.955804,0.161948,0.163404,862,303.046875,74
0.030000,13.632321,420.127000,-134.545628,0.148843,0.160200,12.964843,0.162061,0.158064,944,331.875000,65
0.032000,14.465835,413.180750,-142.772077,0.157696,0.160200,12.973696,0.162171,0.162336,1027,361.054688,67
0.034000,15.285044,405.825750,-150.857346,0.166355,0.160200,12.982355,0.162279,0.165540,1106,388.828125,64
0.036000,16.089138,398.069500,-158.793438,0.174810,0.160200,12.990810,0.162385,0.161268,1185,416.601562,77
0.038000,16.877322,389.919750,-166.572507,0.183054,0.160200,12.999054,0.162488,0.163404,1264,444.375000,78
0.040000,17.648817,381.384500,-174.186859,0.191080,0.160200,13.007080,0.162588,0.165540,1344,472.500000,77
0.042000,18.402860,372.472250,-181.628966,0.198880,0.160200,13.014880,0.162686,0.163404,1421,499.570312,80
0.044000,19.138706,363.191500,-188.891468,0.206448,0.160200,13.022448,0.162781,0.163404,1499,526.992188,77
0.046000,19.855626,353.551250,-195.967183,0.213778,0.160200,13.029778,0.162872,0.162336,1577,554.414062,73
0.048000,20.552911,343.561750,-202.849116,0.220866,0.160200,13.036866,0.162961,0.165540,1654,581.484375,67
0.050000,21.229873,333.232500,-209.530459,0.227705,0.160200,13.043705,0.163046,0.161268,1733,609.257812,68
0.052000,21.885841,322.573500,-216.004607,0.234293,0.160200,13.050293,0.163129,0.163404,1812,637.031250,63
0.054000,22.520167,311.595750,-222.265158,0.240624,0.160200,13.056624,0.163208,0.164472,1889,664.101562,73
0.056000,23.132224,300.310000,-228.305921,0.246697,0.160200,13.062697,0.163284,0.162336,1970,692.578125,70
0.058000,23.721407,288.727250,-234.120922,0.252507,0.160200,13.068507,0.163356,0.163404,2050,720.703125,68
0.060000,24.287133,276.858750,-239.704411,0.258053,0.160200,13.074053,0.163426,0.158064,2128,748.125000,75
0.062000,24.828842,264.716500,-245.050867,0.263332,0.160200,13.079332,0.163492,0.162336,2212,777.656250,64
0.064000,25.345999,252.312750,-250.155003,0.268343,0.160200,13.084343,0.163554,0.166608,2288,804.375000,73
0.066000,25.838093,239.659250,-255.011772,0.273085,0.160200,13.089085,0.163614,0.162336,2364,831.093750,76
0.068000,26.304636,226.768750,-259.616371,0.277555,0.160200,13.093555,0.163669,0.164472,2446,859.921875,71
0.070000,26.745168,213.654250,-263.964246,0.281754,0.160200,13.097754,0.163722,0.162336,2528,888.750000,75
0.072000,27.159253,200.328250,-268.051100,0.285681,0.160200,13.101681,0.163771,0.166608,2603,915.117188,81
0.074000,27.546481,186.804250,-271.872889,0.289335,0.160200,13.105335,0.163817,0.164472,2684,943.593750,81
0.076000,27.906470,173.095500,-275.425835,0.292717,0.160200,13.108717,0.163859,0.161268,2767,972.773438,69
0.078000,28.238863,159.215500,-278.706425,0.295825,0.160200,13.111825,0.163898,0.166608,2852,1002.656250,72
0.080000,28.543332,145.178250,-281.711414,0.298661,0.160200,13.114661,0.163933,0.156996,2940,1033.593750,80
0.082000,28.819576,130.997250,-284.437831,0.301225,0.160200,13.117225,0.163965,0.167676,3033,1066.289062,84
0.084000,29.067321,116.686750,-286.882981,0.303516,0.160200,13.119516,0.163994,0.165540,3122,1097.578125,68
0.086000,29.286323,102.261000,-289.044444,0.305534,0.160200,13.121534,0.164019,0.166608,3206,1127.109375,72
0.088000,29.476365,87.734000,-290.920084,0.307282,0.160200,13.123282,0.164041,0.164472,3290,1156.640625,86
0.090000,29.637259,73.120500,-292.508046,0.308757,0.160200,13.124757,0.164059,0.165540,3376,1186.875000,75
0.092000,29.768847,58.434500,-293.806760,0.309962,0.160200,13.125962,0.164075,0.164472,3460,1216.406250,70
0.094000,29.870997,43.690500,-294.814941,0.310895,0.160200,13.126895,0.164086,0.165540,3543,1245.585938,75
0.096000,29.943609,28.903500,-295.531593,0.311558,0.160200,13.127558,0.164094,0.162336,3626,1274.765625,82
0.098000,29.986611,14.087750,-295.956007,0.311950,0.160200,13.127950,0.164099,0.160200,3720,1307.812500,77
0.100000,29.999960,-0.741750,-296.087763,0.312072,-0.160200,-12.503928,-0.156299,-0.153792,3804,1337.343750,19
0.102000,29.983644,-15.570250,-295.926731,0.311923,-0.160200,-12.504077,-0.156301,-0.155928,3799,1335.585938,-53
0.104000,29.937679,-30.383750,-295.473069,0.311504,-0.160200,-12.504496,-0.156306,-0.155928,3732,1312.031250,-83
0.106000,29.862109,-45.167000,-294.727228,0.310814,-0.160200,-12.505186,-0.156315,-0.150588,3635,1277.929688,-95
0.108000,29.757011,-59.905750,-293.689944,0.309854,-0.160200,-12.506146,-0.156327,-0.156996,3536,1243.125000,-83
0.110000,29.622486,-74.585250,-292.362243,0.308622,-0.160200,-12.507378,-0.156342,-0.156996,3426,1204.453125,-82
0.112000,29.458670,-89.190750,-290.745437,0.307119,-0.160200,-12.508881,-0.156361,-0.156996,3338,1173.515625,-71
0.114000,29.265723,-103.708500,-288.841127,0.305345,-0.160200,-12.510655,-0.156383,-0.151656,3256,1144.687500,-67
0.116000,29.043836,-118.123500,-286.651194,0.303299,-0.160200,-12.512701,-0.156409,-0.155928,3166,1113.046875,-65
0.118000,28.793229,-132.421500,-284.177805,0.300980,-0.160200,-12.515020,-0.156438,-0.155928,3085,1084.570312,-66
0.120000,28.514150,-146.588500,-281.423404,0.298390,-0.160200,-12.517610,-0.156470,-0.154860,3008,1057.500000,-78
0.122000,28.206875,-160.610750,-278.390717,0.295527,-0.160200,-12.520473,-0.156506,-0.153792,2928,1029.375000,-78
0.124000,27.871707,-174.474250,-275.082741,0.292391,-0.160200,-12.523609,-0.156545,-0.155928,2848,1001.250000,-76
0.126000,27.508978,-188.165250,-271.502748,0.288982,-0.160200,-12.527018,-0.156588,-0.155928,2770,973.828125,-78
0.128000,27.119046,-201.670000,-267.654278,0.285300,-0.160200,-12.530700,-0.156634,-0.155928,2692,946.406250,-77
0.130000,26.702298,-214.975250,-263.541136,0.281346,-0.160200,-12.534654,-0.156683,-0.156996,2612,918.281250,-76
0.132000,26.259145,-228.068250,-259.167390,0.277120,-0.160200,-12.538880,-0.156736,-0.156996,2533,890.507812,-76
0.134000,25.790025,-240.935500,-254.537365,0.272623,-0.160200,-12.543377,-0.156792,-0.156996,2455,863.085938,-70
0.136000,25.295403,-253.564500,-249.655639,0.267854,-0.160200,-12.548146,-0.156852,-0.155928,2376,835.312500,-66
0.138000,24.775767,-265.942750,-244.527040,0.262816,-0.160200,-12.553184,-0.156915,-0.159132,2299,808.242188,-64
0.140000,24.231632,-278.058000,-239.156639,0.257510,-0.160200,-12.558490,-0.156981,-0.156996,2219,780.117188,-67
0.142000,23.663535,-289.898500,-233.549747,0.251938,-0.160200,-12.564062,-0.157051,-0.152724,2139,751.992188,-64
0.144000,23.072038,-301.452000,-227.711907,0.246101,-0.160200,-12.569899,-0.157124,-0.156996,2060,724.218750,-67
0.146000,22.457727,-312.707750,-221.648893,0.240003,-0.160200,-12.575997,-0.157200,-0.160200,1979,695.742188,-71
0.148000,21.821207,-323.654250,-215.366700,0.233645,-0.160200,-12.582355,-0.157279,-0.158064,1896,666.562500,-70
0.150000,21.163110,-334.280250,-208.871541,0.227032,-0.160200,-12.588968,-0.157362,-0.159132,1815,638.085938,-71
0.152000,20.484086,-344.576000,-202.169838,0.220168,-0.160200,-12.595832,-0.157448,-0.156996,1734,609.609375,-80
0.154000,19.784806,-354.531250,-195.268218,0.213056,-0.160200,-12.602944,-0.157537,-0.154860,1654,581.484375,-68
0.156000,19.065961,-364.135750,-188.173506,0.205702,-0.160200,-12.610298,-0.157629,-0.163404,1576,554.062500,-67
0.158000,18.328263,-373.380000,-180.892718,0.198110,-0.160200,-12.617890,-0.157724,-0.156996,1497,526.289062,-66
0.160000,17.572441,-382.255250,-173.433052,0.190287,-0.160200,-12.625713,-0.157821,-0.159132,1419,498.867188,-63
0.162000,16.799242,-390.752500,-165.801887,0.182239,-0.160200,-12.633761,-0.157922,-0.160200,1343,472.148438,-74
0.164000,16.009431,-398.863000,-158.006767,0.173974,-0.160200,-12.642026,-0.158025,-0.159132,1267,445.429688,-73
0.166000,15.203790,-406.579250,-150.055401,0.165498,-0.160200,-12.650502,-0.158131,-0.158064,1193,419.414062,-63
0.168000,14.383114,-413.893750,-141.955652,0.156819,-0.160200,-12.659181,-0.158240,-0.158064,1117,392.695312,-70
0.170000,13.548215,-420.798750,-133.715530,0.147947,-0.160200,-12.668053,-0.158351,-0.162336,1038,364.921875,-67
0.172000,12.699919,-427.287750,-125.343182,0.138890,-0.160200,-12.677110,-0.158464,-0.159132,962,338.203125,-76
0.174000,11.839064,-433.354250,-116.846888,0.129658,-0.160200,-12.686342,-0.158579,-0.159132,885,311.132812,-75
0.176000,10.966502,-438.992000,-108.235049,0.120262,-0.160200,-12.695738,-0.158697,-0.162336,806,283.359375,-76
0.178000,10.083096,-444.195500,-99.516181,0.110712,-0.160200,-12.705288,-0.158816,-0.161268,727,255.585938,-67
0.180000,9.189720,-448.960000,-90.698906,0.101018,-0.160200,-12.714982,-0.158937,-0.162336,648,227.812500,-69
0.182000,8.287256,-453.280750,-81.791943,0.091194,-0.160200,-12.724806,-0.159060,-0.158064,568,199.687500,-67
0.184000,7.376597,-457.153000,-72.804099,0.081250,-0.160200,-12.734750,-0.159184,-0.160200,489,171.914062,-77
0.186000,6.458644,-460.573250,-63.744263,0.071199,-0.160200,-12.744801,-0.159310,-0.158064,403,141.679688,-79
0.188000,5.534304,-463.538250,-54.621393,0.061054,-0.160200,-12.754946,-0.159437,-0.162336,322,113.203125,-77
0.190000,4.604491,-466.044750,-45.444510,0.050829,-0.160200,-12.765171,-0.159565,-0.155928,244,85.781250,-75
0.192000,3.670125,-468.090250,-36.222689,0.040535,-0.160200,-12.775465,-0.159693,-0.162336,164,57.656250,-80
0.194000,2.732130,-469.672750,-26.965049,0.030187,-0.160200,-12.785813,-0.159823,-0.158064,83,29.179688,-78
0.196000,1.791434,-470.791000,-17.680744,0.019799,-0.160200,-12.796201,-0.159953,-0.161268,3,1.054688,-80
0.198000,0.848966,-471.444000,-8.378956,0.009384,-0.160200,-12.806616,-0.160083,-0.158064,-80,-28.125000,-75
0.200000,-0.094342,-471.630500,0.931118,-0.001043,-0.160200,-12.817043,-0.160213,-0.159132,-166,-58.359375,-68
0.202000,-1.037556,-471.350750,10.240271,-0.011469,-0.160200,-12.827469,-0.160343,-0.158064,-247,-86.835938,-70
0.204000,-1.979745,-470.604750,19.539298,-0.021879,-0.160200,-12.837879,-0.160473,-0.162336,-330,-116.015625,-68
0.206000,-2.919975,-469.393500,28.819003,-0.032261,-0.160200,-12.848261,-0.160603,-0.158064,-407,-143.085938,-68
0.208000,-3.857319,-467.718000,38.070211,-0.042599,-0.160200,-12.858599,-0.160732,-0.159132,-486,-170.859375,-64
0.210000,-4.790847,-465.580000,47.283772,-0.052880,-0.160200,-12.868880,-0.160861,-0.161268,-566,-198.984375,-64
0.212000,-5.719639,-462.981750,56.450577,-0.063090,-0.160200,-12.879090,-0.160989,-0.160200,-644,-226.406250,-71
0.214000,-6.642774,-459.925500,65.561560,-0.073217,-0.160200,-12.889217,-0.161115,-0.161268,-723,-254.179688,-73
0.216000,-7.559341,-456.414750,74.607713,-0.083248,-0.160200,-12.899248,-0.161241,-0.161268,-802,-281.953125,-71
0.218000,-8.468433,-452.452500,83.580089,-0.093169,-0.160200,-12.909169,-0.161365,-0.159132,-879,-309.023438,-78
0.220000,-9.369151,-448.042500,92.469816,-0.102968,-0.160200,-12.918968,-0.161487,-0.162336,-958,-336.796875,-80
0.222000,-10.260603,-443.189750,101.268104,-0.112633,-0.160200,-12.928633,-0.161608,-0.159132,-1039,-365.273438,-75
0.224000,-11.141910,-437.899000,109.966253,-0.122154,-0.160200,-12.938154,-0.161727,-0.162336,-1117,-392.695312,-79
0.226000,-12.012199,-432.175000,118.555661,-0.131518,-0.160200,-12.947518,-0.161844,-0.165540,-1197,-420.820312,-82
0.228000,-12.870610,-426.023500,127.027834,-0.140716,-0.160200,-12.956716,-0.161959,-0.159132,-1279,-449.648438,-79
0.230000,-13.716293,-419.450750,135.374395,-0.149736,-0.160200,-12.965736,-0.162072,-0.161268,-1361,-478.476562,-77
0.232000,-14.548413,-412.463500,143.587090,-0.158571,-0.160200,-12.974571,-0.162182,-0.161268,-1444,-507.656250,-69
0.234000,-15.366147,-405.068000,151.657799,-0.167209,-0.160200,-12.983209,-0.162290,-0.164472,-1527,-536.835938,-71
0.236000,-16.168685,-397.272250,159.578539,-0.175644,-0.160200,-12.991644,-0.162396,-0.162336,-1611,-566.367188,-77
0.238000,-16.955236,-389.083750,167.341480,-0.183867,-0.160200,-12.999867,-0.162498,-0.161268,-1695,-595.898438,-82
0.240000,-17.725020,-380.510000,174.938944,-0.191870,-0.160200,-13.007870,-0.162598,-0.161268,-1776,-624.375000,-83
0.242000,-18.477276,-371.560250,182.363418,-0.199647,-0.160200,-13.015647,-0.162696,-0.162336,-1858,-653.203125,-76
0.244000,-19.211261,-362.243250,189.607562,-0.207192,-0.160200,-13.023192,-0.162790,-0.160200,-1943,-683.085938,-71
0.246000,-19.926249,-352.568000,196.664211,-0.214498,-0.160200,-13.030498,-0.162881,-0.164472,-2026,-712.265625,-83
0.248000,-20.621533,-342.544000,203.526387,-0.221561,-0.160200,-13.037561,-0.162970,-0.163404,-2111,-742.148438,-81
0.250000,-21.296425,-332.181250,210.187305,-0.228375,-0.160200,-13.044375,-0.163055,-0.164472,-2197,-772.382812,-71
0.252000,-21.950258,-321.490000,216.640378,-0.234937,-0.160200,-13.050937,-0.163137,-0.165540,-2281,-801.914062,-82
0.254000,-22.582385,-310.481000,222.879225,-0.241243,-0.160200,-13.057243,-0.163216,-0.163404,-2370,-833.203125,-71
0.256000,-23.192182,-299.165000,228.897677,-0.247289,-0.160200,-13.063289,-0.163291,-0.162336,-2451,-861.679688,-71
0.258000,-23.779045,-287.553000,234.689782,-0.253074,-0.160200,-13.069074,-0.163363,-0.162336,-2531,-889.804688,-70
0.260000,-24.342394,-275.656500,240.249812,-0.258593,-0.160200,-13.074593,-0.163432,-0.164472,-2611,-917.929688,-73
0.262000,-24.881671,-263.487750,245.572270,-0.263845,-0.160200,-13.079845,-0.163498,-0.162336,-2687,-944.648438,-77
0.264000,-25.396345,-251.058500,250.651893,-0.268830,-0.160200,-13.084830,-0.163560,-0.163404,-2763,-971.367188,-76
0.266000,-25.885905,-238.380500,255.483656,-0.273544,-0.160200,-13.089544,-0.163619,-0.162336,-2841,-998.789062,-67
0.268000,-26.349867,-225.467000,260.062784,-0.277987,-0.160200,-13.093987,-0.163675,-0.164472,-2920,-1026.562500,-65
0.270000,-26.787773,-212.331000,264.384747,-0.282159,-0.160200,-13.098159,-0.163727,-0.164472,-2997,-1053.632812,-67
0.272000,-27.199191,-198.984750,268.445271,-0.286059,-0.160200,-13.102059,-0.163776,-0.163404,-3076,-1081.406250,-63
