time_s,target_joint_deg,actual_joint_deg,error_joint_deg,velocity_actual_avg_units,joint_velocity_est_deg_s,current_actual_mA,current_actual_avg_mA,torque_actual_avg_raw_per_1000,motor_rated_torque_mNm,motor_torque_actual_avg_Nm,joint_torque_est_avg_Nm_no_efficiency,
0.0390958,-59.9996,-0.274658,-59.725,0,0,-69,-45,-5,1068000,-5.34,-427.2,
0.12189,-59.9996,-0.274658,-59.725,0,0,-425,-401,-31,1068000,-33.108,-2648.64,
0.204952,-59.9996,-0.285645,-59.714,-3,-0.225,-1100,-1050,-75,1068000,-80.1,-6408,
0.286836,-59.9996,-0.379028,-59.6206,-23,-1.725,-1812,-1777,-124,1068000,-132.432,-10594.6,
0.368905,-59.9996,-0.656982,-59.3427,-56,-4.2,-2509,-2441,-166,1068000,-177.288,-14183,
0.454098,-59.9996,-1.18982,-58.8098,-98,-7.35,-2927,-2894,-196,1068000,-209.328,-16746.2,
0.536855,-59.9996,-1.96875,-58.0309,-130,-9.75,-3250,-3230,-216,1068000,-230.688,-18455,
0.619248,-59.9996,-2.88721,-57.1124,-153,-11.475,-3280,-3296,-220,1068000,-234.96,-18796.8,
0.701913,-59.9996,-3.87598,-56.1237,-159,-11.925,-3299,-3290,-219,1068000,-233.892,-18711.4,
0.781916,-59.9996,-4.85815,-55.1415,-160,-12,-3314,-3287,-218,1068000,-232.824,-18625.9,
0.867917,-59.9996,-5.84143,-54.1582,-163,-12.225,-3202,-3215,-214,1068000,-228.552,-18284.2,
0.950926,-59.9996,-6.85767,-53.142,-156,-11.7,-3255,-3240,-216,1068000,-230.688,-18455,
1.03094,-59.9996,-7.83435,-52.1653,-158,-11.85,-3233,-3239,-216,1068000,-230.688,-18455,
1.11096,-59.9996,-8.78577,-51.2139,-158,-11.85,-3185,-3223,-214,1068000,-228.552,-18284.2,
1.19637,-59.9996,-9.73608,-50.2635,-158,-11.85,-3188,-3201,-213,1068000,-227.484,-18198.7,
1.28094,-59.9996,-10.7479,-49.2517,-156,-11.7,-3248,-3202,-214,1068000,-228.552,-18284.2,
1.36496,-59.9996,-11.7213,-48.2783,-154,-11.55,-3240,-3230,-216,1068000,-230.688,-18455,
1.44988,-59.9996,-12.7079,-47.2917,-157,-11.775,-3221,-3220,-215,1068000,-229.62,-18369.6,
1.53297,-59.9996,-13.6978,-46.3019,-155,-11.625,-3257,-3233,-215,1068000,-229.62,-18369.6,
1.617,-59.9996,-14.6558,-45.3439,-155,-11.625,-3223,-3247,-216,1068000,-230.688,-18455,
1.70029,-59.9996,-15.627,-44.3727,-151,-11.325,-3285,-3286,-220,1068000,-234.96,-18796.8,
1.78297,-59.9996,-16.5872,-43.4125,-156,-11.7,-3298,-3287,-219,1068000,-233.892,-18711.4,
1.86392,-59.9996,-17.5693,-42.4303,-158,-11.85,-3180,-3241,-216,1068000,-230.688,-18455,
1.94397,-59.9996,-18.5142,-41.4855,-154,-11.55,-3267,-3252,-217,1068000,-231.756,-18540.5,
2.0279,-59.9996,-19.4348,-40.5648,-155,-11.625,-3296,-3246,-216,1068000,-230.688,-18455,
2.1089,-59.9996,-20.4181,-39.5815,-156,-11.7,-3254,-3233,-215,1068000,-229.62,-18369.6,
2.1899,-59.9996,-21.3354,-38.6642,-152,-11.4,-3286,-3254,-217,1068000,-231.756,-18540.5,
2.27297,-59.9996,-22.277,-37.7227,-153,-11.475,-3197,-3263,-217,1068000,-231.756,-18540.5,
2.35336,-59.9996,-23.2207,-36.7789,-151,-11.325,-3277,-3292,-220,1068000,-234.96,-18796.8,
2.43598,-59.9996,-24.149,-35.8506,-156,-11.7,-3269,-3269,-218,1068000,-232.824,-18625.9,
2.52027,-59.9996,-25.1104,-34.8893,-152,-11.4,-3332,-3288,-220,1068000,-234.96,-18796.8,
2.60201,-59.9996,-26.0497,-33.95,-152,-11.4,-3270,-3315,-221,1068000,-236.028,-18882.2,
2.684,-59.9996,-27.0011,-32.9985,-154,-11.55,-3372,-3311,-221,1068000,-236.028,-18882.2,
2.76507,-59.9996,-27.9042,-32.0955,-148,-11.1,-3417,-3398,-226,1068000,-241.368,-19309.4,
2.84796,-59.9996,-28.8666,-31.1331,-160,-12,-3316,-3294,-219,1068000,-233.892,-18711.4,
2.93101,-59.9996,-29.8422,-30.1575,-149,-11.175,-3297,-3331,-223,1068000,-238.164,-19053.1,
3.01407,-59.9996,-30.7705,-29.2291,-155,-11.625,-3275,-3314,-221,1068000,-236.028,-18882.2,
3.09594,-59.9996,-31.7538,-28.2458,-152,-11.4,-3335,-3306,-222,1068000,-237.096,-18967.7,
3.18,-59.9996,-32.6316,-27.368,-148,-11.1,-3431,-3404,-226,1068000,-241.368,-19309.4,
3.26199,-59.9996,-33.6083,-26.3914,-156,-11.7,-3364,-3349,-224,1068000,-239.232,-19138.6,
3.34795,-59.9996,-34.5037,-25.496,-142,-10.65,-3496,-3513,-234,1068000,-249.912,-19993,
3.42902,-59.9996,-35.4847,-24.5149,-158,-11.85,-3415,-3434,-229,1068000,-244.572,-19565.8,
3.50807,-59.9996,-36.4142,-23.5854,-144,-10.8,-3553,-3530,-236,1068000,-252.048,-20163.8,
3.59301,-59.9996,-37.2689,-22.7307,-156,-11.7,-3483,-3509,-233,1068000,-248.844,-19907.5,
3.67595,-59.9996,-38.3258,-21.6738,-158,-11.85,-3389,-3410,-230,1068000,-245.64,-19651.2,
3.75803,-59.9996,-39.1981,-20.8015,-143,-10.725,-3572,-3571,-237,1068000,-253.116,-20249.3,
3.83895,-59.9996,-40.1759,-19.8237,-163,-12.225,-3411,-3407,-227,1068000,-242.436,-19394.9,
3.92305,-59.9996,-41.0845,-18.9152,-139,-10.425,-3610,-3577,-239,1068000,-255.252,-20420.2,
4.00608,-59.9996,-42.0293,-17.9703,-161,-12.075,-3446,-3480,-230,1068000,-245.64,-19651.2,
4.08998,-59.9996,-43.0104,-16.9893,-143,-10.725,-3559,-3542,-239,1068000,-255.252,-20420.2,
4.1738,-59.9996,-43.8695,-16.1301,-148,-11.1,-3623,-3639,-241,1068000,-257.388,-20591,
