time_s,target_joint_deg,actual_joint_deg,error_joint_deg,velocity_actual_avg_units,joint_velocity_est_deg_s,current_actual_mA,current_actual_avg_mA,torque_actual_avg_raw_per_1000,motor_rated_torque_mNm,motor_torque_actual_avg_Nm,joint_torque_est_avg_Nm_no_efficiency,
0.0330573,30.0004,-0.102173,30.1025,0,0,64,33,4,1068000,4.272,341.76,
0.119955,30.0004,-0.101074,30.1014,0,0,439,366,28,1068000,29.904,2392.32,
0.20596,30.0004,-0.0758057,30.0762,8,0.6,1007,970,69,1068000,73.692,5895.36,
0.286899,30.0004,0.0736084,29.9268,30,2.25,1671,1607,112,1068000,119.616,9569.28,
0.370436,30.0004,0.348267,29.6521,53,3.975,2365,2309,159,1068000,169.812,13585,
0.455901,30.0004,0.820679,29.1797,88,6.6,2970,2914,198,1068000,211.464,16917.1,
0.540976,30.0004,1.56885,28.4315,128,9.6,3305,3276,219,1068000,233.892,18711.4,
0.625977,30.0004,2.54553,27.4548,159,11.925,3289,3260,218,1068000,232.824,18625.9,
0.708964,30.0004,3.56177,26.4386,157,11.775,3302,3277,219,1068000,233.892,18711.4,
0.795098,30.0004,4.54614,25.4542,160,12,3252,3260,217,1068000,231.756,18540.5,
0.882007,30.0004,5.58105,24.4193,158,11.85,3253,3256,218,1068000,232.824,18625.9,
0.966925,30.0004,6.61157,23.3888,160,12,3216,3240,216,1068000,230.688,18455,
1.05105,30.0004,7.6377,22.3627,158,11.85,3204,3217,215,1068000,229.62,18369.6,
1.13495,30.0004,8.60669,21.3937,154,11.55,3234,3258,217,1068000,231.756,18540.5,
1.22203,30.0004,9.58887,20.4115,154,11.55,3292,3286,219,1068000,233.892,18711.4,
1.30592,30.0004,10.6018,19.3986,157,11.775,3311,3289,218,1068000,232.824,18625.9,
1.38999,30.0004,11.6115,18.3889,159,11.925,3211,3236,216,1068000,230.688,18455,
1.47304,30.0004,12.5969,17.4034,156,11.7,3208,3241,216,1068000,230.688,18455,
1.55597,30.0004,13.5725,16.4279,157,11.775,3219,3224,215,1068000,229.62,18369.6,
1.63995,30.0004,14.5272,15.4731,153,11.475,3236,3276,218,1068000,232.824,18625.9,
1.727,30.0004,15.4929,14.5074,157,11.775,3258,3266,217,1068000,231.756,18540.5,
1.80919,30.0004,16.5223,13.478,156,11.7,3218,3245,216,1068000,230.688,18455,
1.89201,30.0004,17.4738,12.5266,153,11.475,3257,3263,218,1068000,232.824,18625.9,
1.97696,30.0004,18.4373,11.5631,153,11.475,3284,3277,219,1068000,233.892,18711.4,
2.05995,30.0004,19.4062,10.5941,154,11.55,3260,3284,218,1068000,232.824,18625.9,
2.1451,30.0004,20.384,9.61633,158,11.85,3219,3231,215,1068000,229.62,18369.6,
2.22913,30.0004,21.3871,8.61328,155,11.625,3122,3213,215,1068000,229.62,18369.6,
2.31609,30.0004,22.355,7.64539,154,11.55,3239,3211,214,1068000,228.552,18284.2,
2.40004,30.0004,23.3514,6.64893,151,11.325,3256,3250,217,1068000,231.756,18540.5,
2.48507,30.0004,24.3051,5.69531,153,11.475,3267,3255,216,1068000,230.688,18455,
2.56906,30.0004,25.2949,4.70544,153,11.475,3211,3244,216,1068000,230.688,18455,
2.65505,30.0004,26.2452,3.75513,150,11.25,3303,3291,220,1068000,234.96,18796.8,
2.73709,30.0004,27.2131,2.78723,150,11.25,3219,3234,214,1068000,228.552,18284.2,
2.8241,30.0004,28.1052,1.89514,140,10.5,2884,2942,194,1068000,207.192,16575.4,
2.91005,30.0004,28.9402,1.06018,122,9.15,2480,2533,166,1068000,177.288,14183,
2.99108,30.0004,29.6016,0.398804,93,6.975,2163,2186,143,1068000,152.724,12217.9,
3.073,30.0004,30.0509,-0.0505371,69,5.175,1813,1829,119,1068000,127.092,10167.4,
