time_s,target_joint_deg,actual_joint_deg,error_joint_deg,velocity_actual_avg_units,joint_velocity_est_deg_s,current_actual_mA,current_actual_avg_mA,torque_actual_avg_raw_per_1000,motor_rated_torque_mNm,motor_torque_actual_avg_Nm,joint_torque_est_avg_Nm_no_efficiency,
0.0331425,59.9996,0.818481,59.1812,0,0,-18,28,3,1068000,3.204,256.32,
0.119023,59.9996,0.818481,59.1812,0,0,427,370,29,1068000,30.972,2477.76,
0.201994,59.9996,0.826172,59.1735,2,0.15,1091,1028,74,1068000,79.032,6322.56,
0.282983,59.9996,0.880005,59.1196,16,1.2,1893,1839,128,1068000,136.704,10936.3,
0.364974,59.9996,1.13708,58.8625,55,4.125,2572,2501,170,1068000,181.56,14524.8,
0.450012,59.9996,1.66553,58.3341,97,7.275,2968,2925,198,1068000,211.464,16917.1,
0.535044,59.9996,2.45874,57.5409,136,10.2,3198,3186,213,1068000,227.484,18198.7,
0.619971,59.9996,3.42883,56.5708,154,11.55,3233,3245,216,1068000,230.688,18455,
0.703959,59.9996,4.44067,55.559,162,12.15,3173,3207,213,1068000,227.484,18198.7,
0.787995,59.9996,5.4679,54.5317,160,12,3143,3183,212,1068000,226.416,18113.3,
0.873964,59.9996,6.45996,53.5397,159,11.925,3188,3184,212,1068000,226.416,18113.3,
0.955023,59.9996,7.48828,52.5114,159,11.925,3112,3157,211,1068000,225.348,18027.8,
1.03762,59.9996,8.44409,51.5555,156,11.7,3154,3177,212,1068000,226.416,18113.3,
1.12002,59.9996,9.40869,50.5909,156,11.7,3224,3188,212,1068000,226.416,18113.3,
1.20001,59.9996,10.3579,49.6417,154,11.55,3253,3221,215,1068000,229.62,18369.6,
1.28101,59.9996,11.3104,48.6892,159,11.925,3123,3188,212,1068000,226.416,18113.3,
1.36199,59.9996,12.2618,47.7378,155,11.625,3183,3206,214,1068000,228.552,18284.2,
1.44404,59.9996,13.2045,46.7952,157,11.775,3197,3196,213,1068000,227.484,18198.7,
1.53046,59.9996,14.1768,45.8229,155,11.625,3250,3202,214,1068000,228.552,18284.2,
1.61406,59.9996,15.1578,44.8418,155,11.625,3199,3218,214,1068000,228.552,18284.2,
1.69904,59.9996,16.162,43.8376,160,12,3124,3153,210,1068000,224.28,17942.4,
1.78204,59.9996,17.1628,42.8368,155,11.625,3158,3163,210,1068000,224.28,17942.4,
1.86697,59.9996,18.1252,41.8744,155,11.625,3108,3151,210,1068000,224.28,17942.4,
1.95004,59.9996,19.0964,40.9032,151,11.325,3194,3193,213,1068000,227.484,18198.7,
2.03304,59.9996,20.05,39.9496,156,11.7,3155,3187,211,1068000,225.348,18027.8,
2.11504,59.9996,21.0234,38.9762,155,11.625,3193,3170,212,1068000,226.416,18113.3,
2.19701,59.9996,21.9595,38.0402,154,11.55,3120,3181,212,1068000,226.416,18113.3,
2.28109,59.9996,22.9065,37.0931,153,11.475,3212,3193,213,1068000,227.484,18198.7,
2.363,59.9996,23.8667,36.1329,154,11.55,3181,3191,213,1068000,227.484,18198.7,
2.44502,59.9996,24.8412,35.1584,157,11.775,3147,3134,209,1068000,223.212,17857,
2.52708,59.9996,25.7794,34.2202,152,11.4,3154,3155,210,1068000,224.28,17942.4,
2.609,59.9996,26.722,33.2776,154,11.55,3118,3139,210,1068000,224.28,17942.4,
2.69108,59.9996,27.6614,32.3383,151,11.325,3135,3165,211,1068000,225.348,18027.8,
2.77208,59.9996,28.5831,31.4165,152,11.4,3169,3181,212,1068000,226.416,18113.3,
2.85812,59.9996,29.5356,30.464,156,11.7,3225,3128,209,1068000,223.212,17857,
2.94114,59.9996,30.531,29.4686,152,11.4,3173,3144,210,1068000,224.28,17942.4,
3.02301,59.9996,31.4758,28.5238,151,11.325,3165,3159,211,1068000,225.348,18027.8,
3.10406,59.9996,32.3888,27.6108,151,11.325,3145,3178,212,1068000,226.416,18113.3,
3.18508,59.9996,33.327,26.6726,155,11.625,3157,3151,209,1068000,223.212,17857,
3.26508,59.9996,34.2675,25.7322,154,11.55,3159,3121,209,1068000,223.212,17857,
3.34925,59.9996,35.176,24.8236,151,11.325,3129,3149,210,1068000,224.28,17942.4,
3.4301,59.9996,36.1307,23.8689,151,11.325,3185,3153,211,1068000,225.348,18027.8,
3.51215,59.9996,37.0327,22.9669,148,11.1,3197,3210,213,1068000,227.484,18198.7,
3.59505,59.9996,37.9731,22.0265,154,11.55,3150,3171,211,1068000,225.348,18027.8,
3.67706,59.9996,38.9333,21.0663,153,11.475,3169,3154,210,1068000,224.28,17942.4,
3.76025,59.9996,39.8606,20.139,151,11.325,3136,3168,211,1068000,225.348,18027.8,
3.84412,59.9996,40.8043,19.1953,150,11.25,3254,3183,213,1068000,227.484,18198.7,
3.92711,59.9996,41.7502,18.2494,151,11.325,3195,3196,212,1068000,226.416,18113.3,
4.00804,59.9996,42.717,17.2826,156,11.7,3110,3132,209,1068000,223.212,17857,
4.09212,59.9996,43.6443,16.3553,150,11.25,3124,3142,210,1068000,224.28,17942.4,
4.17823,59.9996,44.5847,15.4149,150,11.25,3192,3167,211,1068000,225.348,18027.8,
4.26012,59.9996,45.5603,14.4393,150,11.25,3222,3181,213,1068000,227.484,18198.7,
4.34237,59.9996,46.4777,13.522,151,11.325,3138,3187,212,1068000,226.416,18113.3,
4.42511,59.9996,47.4269,12.5728,153,11.475,3131,3162,211,1068000,225.348,18027.8,
4.50713,59.9996,48.3552,11.6444,149,11.175,3176,3183,212,1068000,226.416,18113.3,
4.59025,59.9996,49.2781,10.7216,150,11.25,3203,3201,213,1068000,227.484,18198.7,
4.67621,59.9996,50.2218,9.77783,149,11.175,3201,3228,216,1068000,230.688,18455,
4.76014,59.9996,51.1886,8.81104,155,11.625,3169,3188,212,1068000,226.416,18113.3,
4.84417,59.9996,52.1697,7.82996,152,11.4,3175,3175,211,1068000,225.348,18027.8,
4.92913,59.9996,53.1035,6.89612,149,11.175,3259,3199,213,1068000,227.484,18198.7,
