time_s,target_joint_deg,actual_joint_deg,error_joint_deg,velocity_actual_avg_units,joint_velocity_est_deg_s,current_actual_mA,current_actual_avg_mA,torque_actual_avg_raw_per_1000,motor_rated_torque_mNm,motor_torque_actual_avg_Nm,joint_torque_est_avg_Nm_no_efficiency,
0.0294716,0,-130.206,130.206,0,0,19,26,3,1068000,3.204,256.32,
0.114471,0,-130.204,130.204,0,0,412,337,26,1068000,27.768,2221.44,
0.197461,0,-130.191,130.191,4,0.3,966,929,67,1068000,71.556,5724.48,
0.281469,0,-130.088,130.088,25,1.875,1686,1631,113,1068000,120.684,9654.72,
0.363668,0,-129.808,129.808,52,3.9,2327,2292,158,1068000,168.744,13499.5,
0.449524,0,-129.374,129.374,73,5.475,3186,3084,212,1068000,226.416,18113.3,
0.532622,0,-128.949,128.949,66,4.95,4435,4304,295,1068000,315.06,25204.8,
0.617594,0,-128.428,128.428,105,7.875,5074,5076,337,1068000,359.916,28793.3,
0.699562,0,-127.166,127.166,225,16.875,4155,4230,280,1068000,299.04,23923.2,
0.783513,0,-126.154,126.154,139,10.425,4596,4592,306,1068000,326.808,26144.6,
0.867515,0,-125.018,125.018,208,15.6,3958,3976,264,1068000,281.952,22556.2,
0.949536,0,-124.031,124.031,125,9.375,4510,4457,300,1068000,320.4,25632,
1.03354,0,-123.067,123.067,194,14.55,4017,4059,265,1068000,283.02,22641.6,
1.11846,0,-121.955,121.955,132,9.9,4380,4323,293,1068000,312.924,25033.9,
1.20254,0,-121.084,121.084,177,13.275,4077,4173,270,1068000,288.36,23068.8,
1.28756,0,-119.859,119.859,151,11.325,4222,4107,280,1068000,299.04,23923.2,
1.3665,0,-119.087,119.087,149,11.175,4322,4336,284,1068000,303.312,24265,
1.45052,0,-117.881,117.881,183,13.725,3947,3885,264,1068000,281.952,22556.2,
1.53256,0,-117.125,117.125,126,9.45,4379,4401,292,1068000,311.856,24948.5,
1.61658,0,-115.971,115.971,200,15,3790,3790,254,1068000,271.272,21701.8,
1.6987,0,-115.096,115.096,117,8.775,4397,4366,293,1068000,312.924,25033.9,
