time_s,encoder_count,position_deg_motor,velocity_rpm,target_torque_permille,target_torque_Nm,actual_torque_permille,actual_torque_Nm
8.736e-06,228,25650,0,0,1.37225e-05,0,0
0.0230758,228,25650,0,34,0.0362156,33,0.035244
0.0449164,232,26100,5,66,0.0703205,66,0.070488
0.0659399,244,27450,13,96,0.102839,98,0.104664
0.0868035,267,30037.5,30,126,0.134667,127,0.135636
0.107796,312,35100,46,156,0.166108,155,0.16554
0.128822,380,42750,74,184,0.196875,184,0.196512
0.149869,486,54675,101,212,0.226811,210,0.22428
0.17182,630,70875,114,241,0.256977,240,0.25632
0.190837,814,91575,156,264,0.282127,264,0.281952
0.212994,1060,119250,210,290,0.310157,286,0.305448
0.231885,1322,148725,229,312,0.332871,308,0.328944
0.253895,1679,188888,290,335,0.357853,334,0.356712
0.274827,2083,234338,320,356,0.380027,355,0.37914
0.296871,2548,286650,315,376,0.4016,376,0.401568
0.31679,2995,336938,353,393,0.419441,392,0.418656
0.336918,3562,400725,400,408,0.435801,410,0.43788
0.358965,4185,470812,454,423,0.451719,430,0.45924
0.38004,4847,545288,473,435,0.464911,440,0.46992
0.400876,5549,624262,524,446,0.475952,444,0.474192
0.420919,6285,707062,556,454,0.484648,451,0.481668
0.441896,7075,795938,589,460,0.491693,464,0.495552
0.46222,7873,885712,600,465,0.496482,462,0.493416
0.481904,8707,979538,619,467,0.499192,471,0.503028
0.502054,9586,1.07842e+06,649,468,0.49999,465,0.49662
0.523839,10542,1.18598e+06,651,467,0.498598,469,0.500892
0.545994,11533,1.29746e+06,669,463,0.494789,459,0.490212
0.56795,12537,1.41041e+06,666,458,0.488651,460,0.49128
0.588887,13532,1.52235e+06,687,450,0.480632,449,0.479532
0.610928,14525,1.63406e+06,666,440,0.469944,436,0.465648
0.630858,15451,1.73824e+06,658,429,0.458341,428,0.457104
0.652903,16417,1.84691e+06,649,415,0.443415,413,0.441084
0.675078,17380,1.95525e+06,620,399,0.426256,401,0.428268
0.69589,18262,2.05448e+06,600,382,0.40827,382,0.407976
0.717967,19154,2.15482e+06,568,363,0.387284,362,0.386616
0.737051,19891,2.23774e+06,538,344,0.36764,346,0.369528
0.757734,20643,2.32234e+06,492,323,0.34486,327,0.349236
0.779907,21354,2.40232e+06,456,299,0.318824,300,0.3204
0.800021,21991,2.47399e+06,407,275,0.293866,273,0.291564
0.820889,22572,2.53935e+06,345,250,0.266734,247,0.263796
0.840934,23060,2.59425e+06,305,224,0.239591,219,0.233892
0.861013,23472,2.6406e+06,272,198,0.211448,203,0.216804
0.880923,23819,2.67964e+06,230,171,0.182713,165,0.17622
0.900018,24097,2.71091e+06,176,145,0.154482,145,0.15486
0.92082,24335,2.73769e+06,126,115,0.123097,113,0.120684
0.939944,24518,2.75828e+06,106,88,0.0937775,88,0.093984
0.959922,24631,2.77099e+06,58,59,0.0627874,59,0.063012
0.979912,24692,2.77785e+06,18,30,0.0315334,29,0.030972
0.999856,24709,2.77976e+06,0,0,0.000226735,-1,-0.001068
1.01981,24701,2.77886e+06,-9,-29,-0.0310917,-30,-0.03204
1.03986,24682,2.77672e+06,-22,-58,-0.0624506,-56,-0.059808
1.061,24645,2.77256e+06,-39,-89,-0.0952357,-88,-0.093984
1.08204,24583,2.76559e+06,-66,-119,-0.127439,-116,-0.123888
1.10401,24482,2.75422e+06,-72,-150,-0.160493,-154,-0.164472
1.12595,24358,2.74028e+06,-96,-180,-0.192721,-181,-0.193308
1.146,24218,2.72452e+06,-112,-207,-0.221378,-204,-0.217872
1.16693,24033,2.70371e+06,-135,-234,-0.250361,-234,-0.249912
1.18591,23840,2.682e+06,-178,-258,-0.275708,-260,-0.27768
1.20511,23595,2.65444e+06,-194,-281,-0.300353,-284,-0.303312
1.22388,23330,2.62462e+06,-241,-303,-0.323387,-302,-0.322536
1.24302,22988,2.58615e+06,-275,-324,-0.345716,-327,-0.349236
1.26192,22616,2.5443e+06,-307,-343,-0.366539,-346,-0.369528
1.28205,22156,2.49255e+06,-338,-363,-0.387302,-390,-0.41652
1.30091,21674,2.43832e+06,-418,-380,-0.405344,-383,-0.409044
