t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_model_deg,qdd_model_deg_s2,q_link_deg,qd_link_deg_s,pos_error_deg,vel_error_deg_s,tau_inertia_joint_Nm,tau_gravity_joint_Nm,tau_joint_ff_Nm,tau_pd_joint_Nm,tau_joint_total_Nm,tau_dead_motor_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0,0,943.2655,0,0,0,-0.380127,0,0.380127,943.2655,0,0,0,-6.684752,-6.684752,0,0.083559,0,-346,0
0.002,1.886531,942.79925,0,1.886531,0,-0.379028,0.675,2.265559,942.12425,0,0.027289,0.027289,-7.17039,-7.143101,0,0.089289,0.081168,-345,9
0.004,3.771197,941.40075,-37.220226,3.771197,-37.220226,-0.350464,2.925,4.121661,938.47575,-1.210244,0.054522,-1.155722,-7.630845,-8.786567,0,0.109832,0.089712,-319,39
0.006,5.652134,939.071,-55.784328,5.652134,-55.784328,-0.276855,4.425,5.928989,934.646,-1.813869,0.081641,-1.732228,-8.077266,-9.809494,0,0.122619,0.110004,-252,59
0.008,7.527481,935.81275,-74.293267,7.527481,-74.293267,-0.199951,4.65,7.727432,931.16275,-2.415701,0.108593,-2.307108,-8.523779,-10.830888,0,0.135386,0.121752,-182,62
0.01,9.395385,931.62925,-92.728741,9.395385,-92.728741,-0.098877,5.025,9.494262,926.60425,-3.015145,0.135322,-2.879822,-8.95451,-11.834332,0,0.147929,0.135636,-90,67
0.012,11.253998,926.5245,-111.072519,11.253998,-111.072519,0.013184,5.925,11.240814,920.5995,-3.611606,0.161776,-3.449831,-9.369835,-12.819666,0,0.160246,0.147384,12,79
0.014,13.101483,920.5035,-129.306462,13.101483,-129.306462,0.113159,5.7,12.988324,914.8035,-4.204497,0.187902,-4.016595,-9.786868,-13.803463,0,0.172543,0.164472,103,76
0.016,14.936012,913.57225,-147.412541,14.936012,-147.412541,0.215332,5.85,14.72068,907.72225,-4.79323,0.213652,-4.579577,-10.190962,-14.770539,0,0.184632,0.173016,196,78
0.018,16.755772,905.7375,-165.372849,16.755772,-165.372849,0.325195,7.125,16.430577,898.6125,-5.377223,0.238979,-5.138244,-10.575014,-15.713257,0,0.196416,0.185832,296,95
0.02,18.558962,897.00725,-183.169628,18.558962,-183.169628,0.439453,7.875,18.119509,889.13225,-5.955898,0.263837,-5.692061,-10.95099,-16.643052,0,0.208038,0.195444,400,105
0.022,20.343801,887.39,-200.785278,20.343801,-200.785278,0.593262,9.375,19.750539,878.015,-6.528684,0.288185,-6.240499,-11.30038,-17.54088,0,0.219261,0.206124,540,125
