t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_model_deg,qdd_model_deg_s2,q_link_deg,qd_link_deg_s,pos_error_deg,vel_error_deg_s,tau_inertia_joint_Nm,tau_gravity_joint_Nm,tau_joint_ff_Nm,tau_pd_joint_Nm,tau_joint_total_Nm,tau_dead_motor_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0.000000,0.000000,943.265500,0.000000,0.000000,0.000000,-0.223022,0.000000,0.223022,943.265500,0.000000,0.000000,0.000000,8.309394,-8.309394,0.000000,0.103867,0.001068,-203,0
0.002000,1.886531,942.799250,0.000000,1.886531,0.000000,-0.220825,1.350000,2.107356,941.449250,0.000000,0.027289,0.027289,8.951301,-8.924012,0.000000,0.111550,0.106800,-201,18
0.004000,3.771197,941.400750,-37.220226,3.771197,-37.220226,-0.166992,4.275000,3.938189,937.125750,-1.210244,0.054522,-1.155722,9.552652,-10.708374,0.000000,0.133855,0.110004,-152,57
0.006000,5.652134,939.071000,-55.784328,5.652134,-55.784328,-0.070312,5.775000,5.722447,933.296000,-1.813869,0.081641,-1.732228,10.142055,-11.874283,0.000000,0.148429,0.132432,-64,77
0.008000,7.527481,935.812750,-74.293267,7.527481,-74.293267,0.060425,7.500000,7.467056,928.312750,-2.415701,0.108593,-2.307108,10.707551,-13.014660,0.000000,0.162683,0.148452,55,100
0.010000,9.395385,931.629250,-92.728741,9.395385,-92.728741,0.203247,7.125000,9.192138,924.504250,-3.015145,0.135322,-2.879822,11.276483,-14.156305,0.000000,0.176954,0.163404,185,95
0.012000,11.253998,926.524500,-111.072519,11.253998,-111.072519,0.366943,7.500000,10.887055,919.024500,-3.611606,0.161776,-3.449831,11.820301,-15.270131,0.000000,0.190877,0.176220,334,100
0.014000,13.101483,920.503500,-129.306462,13.101483,-129.306462,0.549316,8.400000,12.552167,912.103500,-4.204497,0.187902,-4.016595,12.341137,-16.357732,0.000000,0.204472,0.191172,500,112
0.016000,14.936012,913.572250,-147.412541,14.936012,-147.412541,0.727295,10.800000,14.208717,902.772250,-4.793230,0.213652,-4.579577,12.837952,-17.417529,0.000000,0.217719,0.202920,662,144
0.018000,16.755772,905.737500,-165.372849,16.755772,-165.372849,0.922852,10.275000,15.832920,895.462500,-5.377223,0.238979,-5.138244,13.341116,-18.479360,0.000000,0.230992,0.210396,840,137
0.020000,18.558962,897.007250,-183.169628,18.558962,-183.169628,1.156860,12.825000,17.402102,884.182250,-5.955898,0.263837,-5.692061,13.790425,-19.482486,0.000000,0.243531,0.230688,1053,171
0.022000,20.343801,887.390000,-200.785278,20.343801,-200.785278,1.404053,14.325000,18.939748,873.065000,-6.528684,0.288185,-6.240499,14.230149,-20.470648,0.000000,0.255883,0.245640,1278,191
0.024000,22.108522,876.895000,-218.202380,22.108522,-218.202380,1.654541,14.250000,20.453981,862.645000,-7.095015,0.311983,-6.783031,14.667784,-21.450815,0.000000,0.268135,0.256320,1506,190
