t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_model_deg,qdd_model_deg_s2,q_link_deg,qd_link_deg_s,pos_error_deg,vel_error_deg_s,tau_inertia_joint_Nm,tau_gravity_joint_Nm,tau_joint_ff_Nm,tau_pd_joint_Nm,tau_joint_total_Nm,tau_dead_motor_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0.000000,0.000000,943.265500,0.000000,0.000000,0.000000,0.347168,0.000000,-0.347168,943.265500,0.000000,0.000000,0.000000,6.494347,6.494347,0.160200,0.241379,-0.002136,316,0
0.002000,1.886531,942.799250,0.000000,1.886531,0.000000,0.351562,3.075000,1.534968,939.724250,0.000000,0.027289,0.027289,6.962367,6.989656,0.160200,0.247571,0.242436,320,41
0.004000,3.771197,941.400750,-37.220226,3.771197,-37.220226,0.449341,7.725000,3.321856,933.675750,-1.210244,0.054522,-1.155722,7.387946,6.232224,0.160200,0.238103,0.249912,409,103
0.006000,5.652134,939.071000,-55.784328,5.652134,-55.784328,0.594360,8.400000,5.057774,930.671000,-1.813869,0.081641,-1.732228,7.821431,6.089203,0.160200,0.236315,0.238164,541,112
0.008000,7.527481,935.812750,-74.293267,7.527481,-74.293267,0.797607,9.450000,6.729874,926.362750,-2.415701,0.108593,-2.307108,8.229109,5.922001,0.160200,0.234225,0.234960,726,126
0.010000,9.395385,931.629250,-92.728741,9.395385,-92.728741,1.020630,12.525000,8.374755,919.104250,-3.015145,0.135322,-2.879822,8.609064,5.729242,0.160200,0.231816,0.233892,929,167
0.012000,11.253998,926.524500,-111.072519,11.253998,-111.072519,1.251343,12.450000,10.002655,914.074500,-3.611606,0.161776,-3.449831,9.000133,5.550302,0.160200,0.229579,0.234960,1139,166
0.014000,13.101483,920.503500,-129.306462,13.101483,-129.306462,1.490845,13.650000,11.610638,906.853500,-4.204497,0.187902,-4.016595,9.370690,5.354095,0.160200,0.227126,0.225348,1357,182
0.016000,14.936012,913.572250,-147.412541,14.936012,-147.412541,1.702881,11.625000,13.233131,901.947250,-4.793230,0.213652,-4.579577,9.761205,5.181628,0.160200,0.224970,0.225348,1550,155
0.018000,16.755772,905.737500,-165.372849,16.755772,-165.372849,1.909424,11.850000,14.846348,893.887500,-5.377223,0.238979,-5.138244,10.127277,4.989033,0.160200,0.222563,0.226416,1738,158
0.020000,18.558962,897.007250,-183.169628,18.558962,-183.169628,2.125854,11.925000,16.433108,885.082250,-5.955898,0.263837,-5.692061,10.481217,4.789156,0.160200,0.220064,0.223212,1935,159
0.022000,20.343801,887.390000,-200.785278,20.343801,-200.785278,2.347778,11.700000,17.996023,875.690000,-6.528684,0.288185,-6.240499,10.824817,4.584318,0.160200,0.217504,0.224280,2137,156
0.024000,22.108522,876.895000,-218.202380,22.108522,-218.202380,2.575195,13.200000,19.533327,863.695000,-7.095015,0.311983,-6.783031,11.143542,4.360511,0.160200,0.214706,0.218940,2344,176
0.026000,23.851381,865.533250,-235.403712,23.851381,-235.403712,2.781738,11.700000,21.069643,853.833250,-7.654329,0.335197,-7.319132,11.476900,4.157768,0.160200,0.212172,0.216804,2532,156
0.028000,25.570655,853.315500,-252.372264,25.570655,-252.372264,2.981689,10.575000,22.588966,842.740500,-8.206074,0.357792,-7.848282,11.797216,3.948934,0.160200,0.209562,0.211464,2714,141
0.030000,27.264643,840.253750,-269.091255,27.264643,-269.091255,3.172852,11.775000,24.091791,828.478750,-8.749705,0.379741,-8.369964,12.091089,3.721125,0.160200,0.206714,0.212532,2888,157
0.032000,28.931670,826.361000,-285.544154,28.931670,-285.544154,3.355225,12.000000,25.576445,814.361000,-9.284683,0.401016,-8.883667,12.381210,3.497543,0.160200,0.203919,0.208260,3054,160
0.034000,30.570087,811.651500,-301.714692,30.570087,-301.714692,3.563965,11.325000,27.006122,800.326500,-9.810480,0.421595,-9.388885,12.657519,3.268634,0.160200,0.201058,0.203988,3244,151
0.036000,32.178276,796.139500,-317.586877,32.178276,-317.586877,3.767212,11.025000,28.411064,785.114500,-10.326576,0.441459,-9.885117,12.919132,3.034015,0.160200,0.198125,0.200784,3429,147
0.038000,33.754645,779.839750,-333.145014,33.754645,-333.145014,3.961670,11.850000,29.792975,767.989750,-10.832461,0.460593,-10.371868,13.161363,2.789495,0.160200,0.195069,0.201852,3606,158
0.040000,35.297635,762.769000,-348.373719,35.297635,-348.373719,4.159424,11.700000,31.138211,751.069000,-11.327633,0.478984,-10.848649,13.395415,2.546766,0.160200,0.192035,0.190104,3786,156
0.042000,36.805721,744.944000,-363.257932,36.805721,-363.257932,4.338501,9.450000,32.467220,735.494000,-11.811605,0.496624,-11.314981,13.634615,2.319634,0.160200,0.189195,0.193308,3949,126
0.044000,38.277411,726.382500,-377.782936,38.277411,-377.782936,4.523071,10.050000,33.754340,716.332500,-12.283896,0.513506,-11.770390,13.837810,2.067420,0.160200,0.186043,0.190104,4117,134
0.046000,39.711251,707.102750,-391.934367,39.711251,-391.934367,4.701050,10.575000,35.010201,696.527750,-12.744041,0.529629,-12.214412,14.028330,1.813918,0.160200,0.182874,0.187968,4279,141
0.048000,41.105822,687.123500,-405.698231,41.105822,-405.698231,4.892212,8.775000,36.213610,678.348500,-13.191583,0.544991,-12.646592,14.216467,1.569875,0.160200,0.179823,0.178356,4453,117
0.050000,42.459745,666.465000,-419.060918,42.459745,-419.060918,5.059204,8.700000,37.400541,657.765000,-13.626081,0.559598,-13.066483,14.383505,1.317021,0.160200,0.176663,0.179424,4605,116
0.052000,43.771682,645.147500,-432.009215,43.771682,-432.009215,5.223999,9.225000,38.547683,635.922500,-14.047105,0.573453,-13.473652,14.531336,1.057685,0.160200,0.173421,0.177288,4755,123
0.054000,45.040335,623.191750,-444.530316,45.040335,-444.530316,5.363525,7.275000,39.676810,615.916750,-14.454238,0.586565,-13.867672,14.687275,0.819602,0.160200,0.170445,0.173016,4882,97
0.056000,46.264449,600.619750,-456.611842,46.264449,-456.611842,5.508545,8.475000,40.755904,592.144750,-14.847077,0.598945,-14.248133,14.803821,0.555688,0.160200,0.167146,0.169812,5014,113
