t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_link_deg,qd_link_raw_deg_s,qd_link_filt_deg_s,pos_error_deg,vel_error_deg_s,tau_joint_ff_Nm,tau_pd_joint_raw_Nm,tau_pd_joint_limited_Nm,tau_joint_total_Nm,tau_dead_motor_Nm,tau_motor_cmd_before_clamp_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0.000000,0.000000,943.265500,0.000000,-0.049438,0.000000,0.000000,0.049438,943.265500,0.000000,16.497603,16.497603,16.497603,0.000000,-0.257775,-0.257775,-0.001068,45,0
0.002000,1.886531,942.799250,0.000000,-0.045044,2.197266,0.219727,1.931575,942.579523,0.027289,17.799610,17.799610,17.826899,0.000000,-0.278545,-0.278545,-0.258456,41,-49
0.004000,3.771197,941.400750,-37.220226,0.074707,59.875488,6.185303,3.696490,935.215447,-1.155722,18.903226,18.903226,17.747504,0.160200,-0.117105,-0.117105,-0.281952,-68,-154
0.006000,5.652134,939.071000,-55.784328,0.305420,115.356445,17.102417,5.346714,921.968583,-1.732228,19.824098,19.824098,18.091870,0.160200,-0.122485,-0.122485,-0.116412,-278,-163
0.008000,7.527481,935.812750,-74.293267,0.476807,85.693359,23.961511,7.050674,911.851239,-2.307108,20.837106,20.837106,18.529997,0.160200,-0.129331,-0.129331,-0.121752,-434,-120
0.010000,9.395385,931.629250,-92.728741,0.619629,71.411133,28.706473,8.775756,902.922777,-2.879822,21.885609,21.885609,19.005786,0.160200,-0.136765,-0.136765,-0.131364,-564,-91
0.012000,11.253998,926.524500,-111.072519,0.741577,60.974121,31.933238,10.512421,894.591262,-3.449831,22.952617,22.952617,19.502787,0.160200,-0.144531,-0.144531,-0.135636,-675,-75
0.014000,13.101483,920.503500,-129.306462,0.836060,47.241211,33.464035,12.265423,887.039465,-4.016595,24.044640,24.044640,20.028046,0.160200,-0.152738,-0.152738,-0.144180,-761,-73
0.016000,14.936012,913.572250,-147.412541,0.920654,42.297363,34.347368,14.015358,879.224882,-4.579577,25.129935,25.129935,20.550357,0.160200,-0.160899,-0.160899,-0.152724,-838,-76
0.018000,16.755772,905.737500,-165.372849,1.011841,45.593262,35.471958,15.743931,870.265542,-5.138244,26.180337,26.180337,21.042093,0.160200,-0.168583,-0.168583,-0.161268,-921,-81
0.020000,18.558962,897.007250,-183.169628,1.103027,45.593262,36.484088,17.455935,860.523162,-5.692061,27.205504,27.205504,21.513443,0.160200,-0.175948,-0.175948,-0.168744,-1004,-81
0.022000,20.343801,887.390000,-200.785278,1.206299,51.635742,37.999253,19.137502,849.390747,-6.240499,28.185162,28.185162,21.944663,0.160200,-0.182685,-0.182685,-0.177288,-1098,-91
