t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_model_deg,qdd_model_deg_s2,q_link_deg,qd_link_deg_s,pos_error_deg,vel_error_deg_s,tau_inertia_joint_Nm,tau_gravity_joint_Nm,tau_joint_ff_Nm,tau_pd_joint_Nm,tau_joint_total_Nm,tau_dead_motor_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0.000000,0.000000,943.265500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,943.265500,0.000000,0.000000,0.000000,6.585235,6.585235,0.160200,0.242515,-0.003204,0,0
0.002000,1.886531,942.799250,0.000000,1.886531,0.000000,-0.003296,3.375000,1.889827,939.424250,0.000000,0.027289,0.027289,7.053174,7.080463,0.160200,0.248706,0.243504,3,45
0.004000,3.771197,941.400750,-37.220226,3.771197,-37.220226,-0.110962,9.450000,3.882159,931.950750,-1.210244,0.054522,-1.155722,7.522590,6.366868,0.160200,0.239786,0.249912,101,126
0.006000,5.652134,939.071000,-55.784328,5.652134,-55.784328,-0.319702,13.350000,5.971836,925.721000,-1.813869,0.081641,-1.732228,8.026175,6.293947,0.160200,0.238874,0.241368,291,178
0.008000,7.527481,935.812750,-74.293267,7.527481,-74.293267,-0.546021,13.500000,8.073502,922.312750,-2.415701,0.108593,-2.307108,8.552595,6.245487,0.160200,0.238269,0.239232,497,180
0.010000,9.395385,931.629250,-92.728741,9.395385,-92.728741,-0.780029,13.650000,10.175414,917.979250,-3.015145,0.135322,-2.879822,9.072621,6.192799,0.160200,0.237610,0.240300,710,182
0.012000,11.253998,926.524500,-111.072519,11.253998,-111.072519,-0.984375,11.250000,12.238373,915.274500,-3.611606,0.161776,-3.449831,9.593820,6.143989,0.160200,0.237000,0.232824,896,150
0.014000,13.101483,920.503500,-129.306462,13.101483,-129.306462,-1.203003,11.550000,14.304486,908.953500,-4.204497,0.187902,-4.016595,10.090598,6.074004,0.160200,0.236125,0.239232,1095,154
0.016000,14.936012,913.572250,-147.412541,14.936012,-147.412541,-1.423828,12.000000,16.359840,901.572250,-4.793230,0.213652,-4.579577,10.577158,5.997581,0.160200,0.235170,0.236028,1296,160
0.018000,16.755772,905.737500,-165.372849,16.755772,-165.372849,-1.632568,12.450000,18.388340,893.287500,-5.377223,0.238979,-5.138244,11.050379,5.912136,0.160200,0.234102,0.232824,1486,166
0.020000,18.558962,897.007250,-183.169628,18.558962,-183.169628,-1.856689,13.050000,20.415651,883.957250,-5.955898,0.263837,-5.692061,11.515991,5.823930,0.160200,0.232999,0.228552,1690,174
0.022000,20.343801,887.390000,-200.785278,20.343801,-200.785278,-2.100586,13.800000,22.444387,873.590000,-6.528684,0.288185,-6.240499,11.974735,5.734236,0.160200,0.231878,0.234960,1912,184
0.024000,22.108522,876.895000,-218.202380,22.108522,-218.202380,-2.306030,12.525000,24.414552,864.370000,-7.095015,0.311983,-6.783031,12.426156,5.643125,0.160200,0.230739,0.234960,2099,167
0.026000,23.851381,865.533250,-235.403712,23.851381,-235.403712,-2.536743,12.750000,26.388124,852.783250,-7.654329,0.335197,-7.319132,12.861945,5.542813,0.160200,0.229485,0.232824,2309,170
0.028000,25.570655,853.315500,-252.372264,25.570655,-252.372264,-2.738892,13.575000,28.309547,839.740500,-8.206074,0.357792,-7.848282,13.273917,5.425635,0.160200,0.228020,0.233892,2493,181
0.030000,27.264643,840.253750,-269.091255,27.264643,-269.091255,-2.982788,13.575000,30.247431,826.678750,-8.749705,0.379741,-8.369964,13.690065,5.320101,0.160200,0.226701,0.228552,2715,181
0.032000,28.931670,826.361000,-285.544154,28.931670,-285.544154,-3.190430,13.725000,32.122100,812.636000,-9.284683,0.401016,-8.883667,14.082816,5.199148,0.160200,0.225189,0.223212,2904,183
0.034000,30.570087,811.651500,-301.714692,30.570087,-301.714692,-3.400269,11.550000,33.970356,800.101500,-9.810480,0.421595,-9.388885,14.479180,5.090295,0.160200,0.223829,0.225348,3095,154
0.036000,32.178276,796.139500,-317.586877,32.178276,-317.586877,-3.643066,12.450000,35.821342,783.689500,-10.326576,0.441459,-9.885117,14.849190,4.964073,0.160200,0.222251,0.224280,3316,166
0.038000,33.754645,779.839750,-333.145014,33.754645,-333.145014,-3.852905,11.475000,37.607550,768.364750,-10.832461,0.460593,-10.371868,15.209832,4.837964,0.160200,0.220675,0.223212,3507,153
0.040000,35.297635,762.769000,-348.373719,35.297635,-348.373719,-4.072632,13.050000,39.370267,749.719000,-11.327633,0.478984,-10.848649,15.541138,4.692489,0.160200,0.218856,0.220008,3707,174
0.042000,36.805721,744.944000,-363.257932,36.805721,-363.257932,-4.291260,11.175000,41.096981,733.769000,-11.811605,0.496624,-11.314981,15.881838,4.566857,0.160200,0.217286,0.218940,3906,149
0.044000,38.277411,726.382500,-377.782936,38.277411,-377.782936,-4.486816,12.450000,42.764227,713.932500,-12.283896,0.513506,-11.770390,16.179838,4.409448,0.160200,0.215318,0.216804,4084,166
0.046000,39.711251,707.102750,-391.934367,39.711251,-391.934367,-4.686768,12.375000,44.398019,694.727750,-12.744041,0.529629,-12.214412,16.473489,4.259077,0.160200,0.213438,0.216804,4266,165
0.048000,41.105822,687.123500,-405.698231,41.105822,-405.698231,-4.868042,12.000000,45.973864,675.123500,-13.191583,0.544991,-12.646592,16.749181,4.102589,0.160200,0.211482,0.213600,4431,160
0.050000,42.459745,666.465000,-419.060918,42.459745,-419.060918,-5.040527,10.875000,47.500272,655.590000,-13.626081,0.559598,-13.066483,17.012424,3.945940,0.160200,0.209524,0.209328,4588,145
0.052000,43.771682,645.147500,-432.009215,43.771682,-432.009215,-5.210815,9.600000,48.982497,635.547500,-14.047105,0.573453,-13.473652,17.260546,3.786895,0.160200,0.207536,0.212532,4743,128
0.054000,45.040335,623.191750,-444.530316,45.040335,-444.530316,-5.401978,10.275000,50.442313,612.916750,-14.454238,0.586565,-13.867672,17.484733,3.617060,0.160200,0.205413,0.203988,4917,137
0.056000,46.264449,600.619750,-456.611842,46.264449,-456.611842,-5.604126,10.275000,51.868575,590.344750,-14.847077,0.598945,-14.248133,17.700545,3.452412,0.160200,0.203355,0.202920,5101,137
0.058000,47.442814,577.454250,-468.241844,47.442814,-468.241844,-5.781006,9.375000,53.223820,568.079250,-15.225236,0.610603,-14.614633,17.899905,3.285272,0.160200,0.201266,0.202920,5262,125
0.060000,48.574266,553.717500,-479.408822,48.574266,-479.408822,-5.965576,9.675000,54.539842,544.042500,-15.588338,0.621555,-14.966784,18.076630,3.109847,0.160200,0.199073,0.197580,5430,129
0.062000,49.657684,529.433000,-490.101734,49.657684,-490.101734,-6.139160,9.675000,55.796844,519.758000,-15.936027,0.631814,-15.304213,18.236175,2.931962,0.160200,0.196850,0.200784,5588,129
0.064000,50.691998,504.625250,-500.310006,50.691998,-500.310006,-6.303955,8.550000,56.995953,496.075250,-16.267956,0.641398,-15.626559,18.384764,2.758206,0.160200,0.194678,0.198648,5738,114
0.066000,51.676185,479.318500,-510.023544,51.676185,-510.023544,-6.465454,9.675000,58.141639,469.643500,-16.583799,0.650323,-15.933476,18.500176,2.566699,0.160200,0.192284,0.191172,5885,129
0.068000,52.609272,453.537750,-519.232741,52.609272,-519.232741,-6.628052,9.375000,59.237324,444.162750,-16.883243,0.658607,-16.224636,18.609136,2.384500,0.160200,0.190006,0.190104,6033,125
0.070000,53.490336,427.308250,-527.928493,53.490336,-527.928493,-6.785156,9.225000,60.275492,418.083250,-17.165992,0.666270,-16.499722,18.698859,2.199137,0.160200,0.187689,0.189036,6176,123
0.072000,54.318505,400.656500,-536.102199,54.318505,-536.102199,-6.929077,8.475000,61.247582,392.181500,-17.431766,0.673329,-16.758437,18.772523,2.014085,0.160200,0.185376,0.187968,6307,113
0.074000,55.092962,373.608500,-543.745778,55.092962,-543.745778,-7.062012,8.475000,62.154974,365.133500,-17.680303,0.679803,-17.000500,18.821247,1.820746,0.160200,0.182959,0.186900,6428,113
0.076000,55.812939,346.191000,-550.851670,55.812939,-550.851670,-7.191650,7.350000,63.004589,338.841000,-17.911356,0.685710,-17.225647,18.860119,1.634473,0.160200,0.180631,0.181560,6546,98
