t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_link_deg,qd_link_raw_deg_s,qd_link_filt_deg_s,pos_error_deg,vel_error_deg_s,tau_joint_ff_Nm,tau_pd_joint_raw_Nm,tau_pd_joint_limited_Nm,tau_joint_total_Nm,tau_dead_motor_Nm,tau_motor_cmd_before_clamp_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0,0,943.2655,0,-0.003296,0,0,0.003296,943.2655,0,16.465102,16.465102,16.465102,0.1602,0.366014,0.366014,0,-3,0
0.002,1.886531,942.79925,0,0.003296,3.295898,0.32959,1.883235,942.46966,0.027289,17.599602,17.599602,17.626891,0.1602,0.380536,0.380536,0.364188,3,68
0.004,3.771197,941.40075,-37.220226,0.134033,65.368652,6.833496,3.637164,934.567254,0.041649,18.533093,18.533093,18.574742,0.1602,0.392384,0.392384,0.383412,122,178
0.006,5.652134,939.071,-55.784328,0.362549,114.257812,17.575928,5.289585,921.495072,0.062349,19.314347,19.314347,19.376696,0.1602,0.402409,0.402409,0.393024,330,231
0.008,7.527481,935.81275,-74.293267,0.689941,163.696289,32.187964,6.83754,903.624786,0.082899,19.948043,19.948043,20.030942,0.1602,0.410587,0.410587,0.40584,628,266
0.01,9.395385,931.62925,-92.728741,1.109619,209.838867,49.953054,8.285766,881.676196,0.103253,20.449639,20.449639,20.552892,0.1602,0.417111,0.417111,0.409044,1010,304
0.012,11.253998,926.5245,-111.072519,1.550171,220.275879,66.985337,9.703827,859.539163,0.123362,20.929519,20.929519,21.052881,0.1602,0.423361,0.423361,0.415452,1411,390
0.014,13.101483,920.5035,-129.306462,2.021484,235.656738,83.852477,11.079999,836.651023,0.143183,21.370701,21.370701,21.513884,0.1602,0.429124,0.429124,0.420792,1840,411
0.016,14.936012,913.57225,-147.412541,2.53894,258.728027,101.340032,12.397072,812.232218,0.162671,21.749067,21.749067,21.911737,0.1602,0.434097,0.434097,0.425064,2311,459
0.018,16.755772,905.7375,-165.372849,3.046509,253.78418,116.584447,13.709263,789.153053,0.181786,22.147831,22.147831,22.329617,0.1602,0.43932,0.43932,0.431472,2773,436
0.02,18.558962,897.00725,-183.169628,3.644165,298.828125,134.808814,14.914797,762.198436,0.200489,22.413803,22.413803,22.614292,0.1602,0.442879,0.442879,0.438948,3317,438
0.022,20.343801,887.39,-200.785278,4.200073,277.954102,149.123343,16.143728,738.266657,0.218745,22.746826,22.746826,22.965571,0.1602,0.44727,0.44727,0.440016,3823,450
0.024,22.108522,876.895,-218.20238,4.775757,287.841797,162.995189,17.332765,713.899811,0.23652,23.047886,23.047886,23.284406,0.1602,0.451255,0.451255,0.446424,4347,486
0.026,23.851381,865.53325,-235.403712,5.369019,296.630859,176.358756,18.482362,689.174494,0.253784,23.318597,23.318597,23.572381,0.1602,0.454855,0.454855,0.4539,4887,512
0.028,25.570655,853.3155,-252.372264,6.023804,327.392578,191.462138,19.546851,661.853362,0.270511,23.492012,23.492012,23.762523,0.1602,0.457232,0.457232,0.456036,5483,514
0.03,27.264643,840.25375,-269.091255,6.724731,350.463867,207.362311,20.539912,632.891439,0.286677,23.593157,23.593157,23.879835,0.1602,0.458698,0.458698,0.457104,6121,529
0.032,28.93167,826.361,-285.544154,7.467407,371.337891,223.759869,21.464263,602.601131,0.302262,23.629146,23.629146,23.931408,0.1602,0.459343,0.459343,0.457104,6797,542
0.034,30.570087,811.6515,-301.714692,8.239746,386.169434,240.000825,22.330341,571.650675,0.317249,23.618015,23.618015,23.935264,0.1602,0.459391,0.459391,0.468852,7500,548
0.036,32.178276,796.1395,-317.586877,8.978027,369.140625,252.914805,23.200249,543.224695,0.331624,23.653285,23.653285,23.984909,0.1602,0.460011,0.460011,0.461376,8172,529
0.038,33.754645,779.83975,-333.145014,9.807495,414.733887,269.096713,23.94715,510.743037,0.345377,23.542629,23.542629,23.888006,0.1602,0.4588,0.4588,0.458172,8927,563
0.04,35.297635,762.769,-348.373719,10.598511,395.507812,281.737823,24.699124,481.031177,0.358502,23.483414,23.483414,23.841916,0.1602,0.458224,0.458224,0.461376,9647,566
0.042,36.805721,744.944,-363.257932,11.328003,364.746094,290.03865,25.477718,454.90535,0.370994,23.503048,23.503048,23.874042,0.1602,0.458626,0.458626,0.460308,10311,575
0.044,38.277411,726.3825,-377.782936,12.03772,354.858398,296.520625,26.239691,429.861875,0.382852,23.53142,23.53142,23.914273,0.1602,0.459128,0.459128,0.45924,10957,557
0.046,39.711251,707.10275,-391.934367,12.768311,365.29541,303.398104,26.94294,403.704646,0.394081,23.504481,23.504481,23.898562,0.1602,0.458932,0.458932,0.4539,11622,579
0.048,41.105822,687.1235,-405.698231,13.486816,359.25293,308.983586,27.619006,378.139914,0.404683,23.471277,23.471277,23.87596,0.1602,0.45865,0.45865,0.460308,12276,589
0.05,42.459745,666.465,-419.060918,14.226196,369.689941,315.054222,28.233549,351.410778,0.414668,23.380169,23.380169,23.794837,0.1602,0.457635,0.457635,0.460308,12949,560
0.052,43.771682,645.1475,-432.009215,15.004028,388.916016,322.440401,28.767654,322.707099,0.424045,23.205461,23.205461,23.629506,0.1602,0.455569,0.455569,0.458172,13657,572
0.054,45.040335,623.19175,-444.530316,15.864258,430.114746,333.207836,29.176077,289.983914,0.432827,22.883825,22.883825,23.316653,0.1602,0.451658,0.451658,0.450696,14440,565
0.056,46.264449,600.61975,-456.611842,16.720093,427.91748,342.6788,29.544356,257.94095,0.441028,22.549539,22.549539,22.990567,0.1602,0.447582,0.447582,0.452832,15219,590
0.058,47.442814,577.45425,-468.241844,17.575928,427.91748,351.202668,29.866886,226.251582,0.448665,22.193478,22.193478,22.642142,0.1602,0.443227,0.443227,0.450696,15998,568
0.06,48.574266,553.7175,-479.408822,18.394409,409.240723,357.006474,30.179857,196.711026,0.455754,21.869081,21.869081,22.324835,0.1602,0.43926,0.43926,0.442152,16743,586
0.062,49.657684,529.433,-490.101734,19.226074,415.83252,362.889078,30.43161,166.543922,0.462316,21.496352,21.496352,21.958668,0.1602,0.434683,0.434683,0.431472,17500,569
0.064,50.691998,504.62525,-500.310006,19.951172,362.548828,362.855053,30.740826,141.770197,0.468369,21.252859,21.252859,21.721228,0.1602,0.431715,0.431715,0.433608,18160,549
0.066,51.676185,479.3185,-510.023544,20.646606,347.717285,361.341276,31.029579,117.977224,0.473935,21.013982,21.013982,21.487916,0.1602,0.428799,0.428799,0.429336,18793,549
0.068,52.609272,453.53775,-519.232741,21.349731,351.5625,360.363399,31.259541,93.174351,0.479034,20.721566,20.721566,21.2006,0.1602,0.425208,0.425208,0.430404,19433,540
0.07,53.490336,427.30825,-527.928493,22.159424,404.846191,364.811678,31.330912,62.496572,0.483689,20.229736,20.229736,20.713425,0.1602,0.419118,0.419118,0.4272,20170,549
0.072,54.318505,400.6565,-536.102199,22.880127,360.351562,364.365666,31.438378,36.290834,0.487921,19.838007,19.838007,20.325928,0.1602,0.414274,0.414274,0.41652,20826,527
0.074,55.092962,373.6085,-543.745778,23.622803,371.337891,365.062889,31.470159,8.545611,0.491752,19.373175,19.373175,19.864927,0.1602,0.408512,0.408512,0.413316,21502,515
0.076,55.812939,346.191,-550.85167,24.322632,349.914551,363.548055,31.490307,-17.357055,0.495201,18.933396,18.933396,19.428597,0.1602,0.403057,0.403057,0.40584,22139,505
0.078,56.477726,318.43125,-557.41285,25.008179,342.773438,361.470593,31.469547,-43.039343,0.49829,18.472474,18.472474,18.970764,0.1602,0.397335,0.397335,0.396228,22763,486
0.08,57.086664,290.35625,-563.422828,25.650879,321.350098,357.458544,31.435785,-67.102294,0.501038,18.031872,18.031872,18.53291,0.1602,0.391861,0.391861,0.394092,23348,470
0.082,57.639151,261.9945,-568.875663,26.38147,365.29541,358.24223,31.257681,-96.24773,0.503463,17.414391,17.414391,17.917854,0.1602,0.384173,0.384173,0.393024,24013,501
0.084,58.134642,233.37375,-573.765962,27.026367,322.44873,354.66288,31.108275,-121.28913,0.505582,16.886069,16.886069,17.391651,0.1602,0.377596,0.377596,0.38448,24600,500
0.086,58.572646,204.522,-578.088888,27.627319,300.476074,349.2442,30.945327,-144.7222,0.507412,16.377545,16.377545,16.884958,0.1602,0.371262,0.371262,0.381276,25147,441
0.088,58.95273,175.46825,-581.840169,28.272217,322.44873,346.564653,30.680513,-171.096403,0.508967,15.755463,15.755463,16.26443,0.1602,0.363505,0.363505,0.370596,25734,434
