time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_raw_Nm,tau_pd_joint_clamped_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
3.712e-06,82,20,-0.0900879,20.0901,0,0,200.901,40,-0.5,-468,4,0.004272,0,-10,-3,-7.02247,10
0.033063,63,20,-0.0692139,20.0692,0.631411,-0.631411,200.459,40,-0.5,-468,-468,-0.499824,-114,-7013,-6997,-7.02247,10
0.0659252,-407,20,0.447144,19.5529,15.7128,-15.7128,189.715,40,-0.5,-468,-467,-0.498756,-320,-7041,-7018,-7.02247,10
0.0998773,-1310,20,1.43921,18.5608,29.2196,-29.2196,174.797,40,-0.5,-468,-463,-0.494484,-485,-7044,-7022,-7.02247,10
0.130104,-2370,20,2.60376,17.3962,38.5275,-38.5275,159.707,40,-0.5,-468,-467,-0.498756,-559,-7036,-7008,-7.02247,10
0.164928,-3767,20,4.13855,15.8615,44.0721,-44.0721,142.308,40,-0.5,-468,-474,-0.506232,-630,-7065,-7011,-7.02247,10
0.201942,-5384,20,5.91504,14.085,47.9955,-47.9955,123.091,40,-0.5,-468,-459,-0.490212,-678,-7082,-7014,-7.02247,10
0.237951,-7101,20,7.80139,12.1986,52.3854,-52.3854,102.603,40,-0.5,-468,-469,-0.500892,-695,-7062,-7012,-7.02247,10
0.269966,-8628,20,9.479,10.521,52.4008,-52.4008,85.8217,40,-0.5,-468,-462,-0.493416,-708,-7003,-7010,-7.02247,10
0.308945,-10544,20,11.584,8.41602,54.003,-54.003,64.179,40,-0.5,-468,-469,-0.500892,-723,-7041,-7015,-7.02247,10
0.34493,-12357,20,13.5758,6.42419,55.3515,-55.3515,43.7619,40,-0.5,-468,-469,-0.500892,-748,-7025,-7010,-7.02247,10
0.378968,-14110,20,15.5017,4.49829,56.5815,-56.5815,24.0477,24.0477,-0.300597,-281,-463,-0.494484,-746,-7070,-7014,-4.22187,10
