time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
2.528e-06,-34,20,-0.0373535,20.0374,0,0,100,1.25,600,-2,-0.002136,0,25,0,17.5562,10
0.0368786,-10,20,-0.0109863,20.011,0.715022,-0.715022,100,1.25,600,608,0.649344,159,9014,8951,17.5562,10
0.071915,807,20,0.886597,19.1134,25.6185,-25.6185,100,1.25,600,599,0.639732,532,9035,8987,17.5562,10
0.106993,2315,20,2.54333,17.4567,47.2299,-47.2299,100,1.25,600,603,0.644004,736,8970,8996,17.5562,10
0.145838,4409,20,4.84387,15.1561,59.2231,-59.2231,100,1.25,600,601,0.641868,876,8968,8994,17.5562,10
0.180782,6577,20,7.22571,12.7743,68.1616,-68.1616,100,1.25,600,598,0.638664,968,8970,8994,17.5562,10
0.214821,8914,20,9.79321,10.2068,75.4291,-75.4291,100,1.25,600,600,0.6408,1059,8987,8996,17.5562,10
0.248651,11409,20,12.5343,7.4657,81.0258,-81.0258,74.657,0.933212,600,602,0.642936,1112,9024,8998,13.1069,10
0.281755,13964,20,15.3413,4.65869,84.7938,-84.7938,46.5869,0.582336,545,600,0.6408,1153,9046,8998,8.17888,10
0.312769,16450,20,18.0725,1.92749,88.0634,-88.0634,19.2749,0.240936,226,538,0.574584,1170,8147,8179,3.38394,10
0.346698,19120,20,21.0059,-1.00586,86.4543,-86.4543,-10.0586,-0.125732,-118,218,0.232824,1066,3449,3411,-1.7659,10
0.381801,21379,20,23.4877,-3.48767,70.7015,-70.7015,-34.8767,-0.435959,-408,-119,-0.127092,653,-1755,-1728,-6.12302,10
0.413654,22417,20,24.6281,-4.62805,35.801,-35.801,-46.2805,-0.578506,-542,-408,-0.435744,120,-6153,-6084,-8.12509,10
0.448833,22276,20,24.4731,-4.47314,-4.40347,4.40347,-44.7314,-0.559143,-524,-540,-0.57672,-311,-8118,-8107,-7.85313,10
0.482683,21342,20,23.447,-3.44702,-30.3137,30.3137,-34.4702,-0.430878,-403,-525,-0.5607,-529,-7906,-7853,-6.05165,10
0.518423,19904,20,21.8672,-1.86719,-44.2028,44.2028,-18.6719,-0.233398,-219,-401,-0.428268,-646,-6102,-6053,-3.27807,10
0.552851,18407,20,20.2225,-0.222534,-47.7715,47.7715,-2.22534,-0.0278168,-26,-219,-0.233892,-582,-3270,-3302,-0.390685,10
0.588817,17126,20,18.8152,1.18481,-39.1296,39.1296,11.8481,0.148102,139,-26,-0.027768,-380,-413,-407,2.08008,10
0.626929,16457,20,18.0802,1.9198,-19.2848,19.2848,19.198,0.239975,225,139,0.148452,-77,2055,2071,3.37044,10
0.662847,16446,20,18.0681,1.93188,-0.336466,0.336466,19.3188,0.241486,226,219,0.233892,99,3386,3367,3.39165,10
0.694698,16724,20,18.3735,1.62646,9.58895,-9.58895,16.2646,0.203308,190,225,0.2403,182,3361,3392,2.85545,10
0.726778,17103,20,18.7899,1.21008,12.9793,-12.9793,12.1008,0.15126,142,190,0.20292,170,2875,2855,2.12444,10
0.76184,17519,20,19.2469,0.753052,13.0351,-13.0351,7.53052,0.0941315,88,147,0.156996,135,2148,2134,1.32207,10
0.796816,17843,20,19.6029,0.397095,10.1772,-10.1772,3.97095,0.0496368,46,89,0.095052,106,1315,1325,0.697147,10
0.830826,18031,20,19.8094,0.190552,6.07301,-6.07301,1.90552,0.023819,22,48,0.051264,40,662,693,0.334536,10
0.866821,18101,20,19.8864,0.113647,2.13651,-2.13651,1.13647,0.0142059,13,21,0.022428,8,346,331,0.199522,10
0.899749,18107,20,19.8929,0.107056,0.200187,-0.200187,1.07056,0.013382,13,13,0.013884,0,182,195,0.187949,10
0.935868,18106,20,19.8918,0.108154,-0.0304175,0.0304175,1.08154,0.0135193,13,14,0.014952,0,189,195,0.189878,10
0.969942,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,12,0.012816,0,204,194,0.189878,10
1.00273,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,14,0.014952,0,167,195,0.189878,10
1.03787,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,12,0.012816,0,189,196,0.189878,10
1.06984,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,15,0.01602,0,197,195,0.189878,10
1.10494,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,14,0.014952,0,189,194,0.189878,10
1.14187,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,14,0.014952,0,212,195,0.189878,10
1.17718,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,14,0.014952,0,159,196,0.189878,10
1.21079,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,11,0.011748,0,189,195,0.189878,10
1.24693,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,14,0.014952,0,204,195,0.189878,10
1.28199,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,15,0.01602,0,219,195,0.189878,10
1.31598,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,13,0.013884,0,227,196,0.189878,10
1.3508,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,11,0.011748,0,174,195,0.189878,10
1.38811,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,13,0.013884,0,189,195,0.189878,10
1.42585,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,12,0.012816,0,159,195,0.189878,10
1.46285,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,12,0.012816,0,197,196,0.189878,10
1.49805,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,12,0.012816,0,219,195,0.189878,10
1.53384,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,10,0.01068,0,159,195,0.189878,10
1.56985,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,12,0.012816,0,242,195,0.189878,10
1.60581,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,14,0.014952,0,204,196,0.189878,10
1.6438,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,12,0.012816,0,152,195,0.189878,10
1.67961,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,15,0.01602,0,167,196,0.189878,10
1.71487,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,13,0.013884,0,204,195,0.189878,10
1.75294,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,13,0.013884,0,182,194,0.189878,10
1.79184,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,12,0.012816,0,175,196,0.189878,10
1.82205,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,15,0.01602,0,174,195,0.189878,10
1.85476,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,11,0.011748,0,175,195,0.189878,10
1.88983,18106,20,19.8918,0.108154,0,0,1.08154,0.0135193,13,15,0.01602,0,219,195,0.189878,10
