time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
4.032e-06,105,40,0.115356,39.8846,0,0,40,0.5,468,-3,-0.003204,0,13,2,7.02247,10
0.0367664,119,40,0.130737,39.8693,0.418386,-0.418386,40,0.5,468,468,0.499824,148,7027,6987,7.02247,10
0.0701027,665,40,0.730591,39.2694,17.994,-17.994,40,0.5,468,468,0.499824,390,6987,7017,7.02247,10
0.102791,1616,40,1.77539,38.2246,31.9627,-31.9627,40,0.5,468,466,0.497688,510,7071,7017,7.02247,10
0.13988,3001,40,3.297,36.703,41.025,-41.025,40,0.5,468,467,0.498756,596,7034,7014,7.02247,10
0.174698,4473,40,4.91418,35.0858,46.4478,-46.4478,40,0.5,468,469,0.500892,663,7104,7015,7.02247,10
0.207827,6011,40,6.60388,33.3961,51.0026,-51.0026,40,0.5,468,473,0.505164,705,7025,7019,7.02247,10
0.242712,7732,40,8.49463,31.5054,54.2003,-54.2003,40,0.5,468,465,0.49662,734,7052,7016,7.02247,10
0.27678,9464,40,10.3975,29.6025,55.8543,-55.8543,40,0.5,468,467,0.498756,760,7015,7025,7.02247,10
0.311794,11294,40,12.408,27.592,57.4201,-57.4201,40,0.5,468,465,0.49662,776,7081,7024,7.02247,10
0.344118,13061,40,14.3492,25.6508,60.0561,-60.0561,40,0.5,468,468,0.499824,791,6905,7016,7.02247,10
0.377635,14882,40,16.3499,23.6501,59.6889,-59.6889,40,0.5,468,471,0.503028,809,6989,7022,7.02247,10
0.409726,16655,40,18.2977,21.7023,60.7001,-60.7001,40,0.5,468,472,0.504096,825,7010,7022,7.02247,10
0.444744,18625,40,20.462,19.538,61.8041,-61.8041,40,0.5,468,467,0.498756,824,7058,7023,7.02247,10
0.476961,20425,40,22.4396,17.5604,61.383,-61.383,40,0.5,468,475,0.5073,828,7039,7021,7.02247,10
0.509834,22360,40,24.5654,15.4346,64.6673,-64.6673,40,0.5,468,471,0.503028,833,7013,7019,7.02247,10
0.54164,24121,40,26.5001,13.4999,60.8295,-60.8295,40,0.5,468,471,0.503028,832,6966,7020,7.02247,10
0.577892,26241,40,28.8292,11.1708,64.2461,-64.2461,40,0.5,468,467,0.498756,854,6973,7020,7.02247,10
0.611651,28157,40,30.9342,9.0658,62.3539,-62.3539,40,0.5,468,468,0.499824,839,7081,7018,7.02247,10
0.644734,30082,40,33.0491,6.95093,63.927,-63.927,40,0.5,468,470,0.50196,856,6999,7022,7.02247,10
0.678799,32065,40,35.2277,4.77234,63.9531,-63.9531,18.9445,0.236806,222,466,0.497688,857,6975,7019,3.32593,10
0.712798,34047,40,37.4052,2.59485,64.0458,-64.0458,-2.87211,-0.0359013,-34,223,0.238164,769,3349,3351,-0.504232,10
0.747762,35706,40,39.2278,0.772217,52.1293,-52.1293,-15.736,-0.1967,-184,-9,-0.009612,490,-474,-486,-2.76265,10
0.780802,36499,40,40.099,-0.098999,26.368,-26.368,-12.8556,-0.160695,-150,-184,-0.196512,108,-2660,-2740,-2.25695,10
0.813721,36548,40,40.1528,-0.152832,1.63536,-1.63536,-2.26423,-0.0283029,-27,-149,-0.159132,-78,-2291,-2251,-0.397512,10
0.849636,36305,40,39.8859,0.114136,-7.43322,7.43322,4.48631,0.0560788,53,-28,-0.029904,-88,-410,-412,0.787624,10
0.884741,36182,40,39.7507,0.249268,-3.84936,3.84936,4.22489,0.0528111,49,53,0.056604,0,833,791,0.741729,10
0.918843,36215,40,39.787,0.213013,1.06313,-1.06313,1.65172,0.0206465,19,52,0.055536,19,668,736,0.289978,10
0.954644,36259,40,39.8353,0.164673,1.35022,-1.35022,1.03913,0.0129891,12,23,0.024564,7,319,286,0.182431,10
0.990754,36263,40,39.8397,0.160278,0.121701,-0.121701,1.54802,0.0193502,18,11,0.011748,-1,155,180,0.271773,10
1.02544,36262,40,39.8386,0.161377,-0.0316745,0.0316745,1.62802,0.0203503,19,20,0.02136,0,281,269,0.285819,10
1.05681,36262,40,39.8386,0.161377,0,0,1.61377,0.0201721,19,19,0.020292,0,275,286,0.283316,10
1.09173,36262,40,39.8386,0.161377,0,0,1.61377,0.0201721,19,16,0.017088,0,204,283,0.283316,10
1.12666,36262,40,39.8386,0.161377,0,0,1.61377,0.0201721,19,17,0.018156,0,291,285,0.283316,10
1.16084,36262,40,39.8386,0.161377,0,0,1.61377,0.0201721,19,16,0.017088,0,221,285,0.283316,10
1.19679,36262,40,39.8386,0.161377,0,0,1.61377,0.0201721,19,21,0.022428,0,379,285,0.283316,10
