time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
2.112e-06,27,40,0.0296631,39.9703,0,0,40,0.5,468,-1,-0.001068,0,-13,-1,7.02247,10
0.0436286,56,40,0.0615234,39.9385,0.730299,-0.730299,40,0.5,468,465,0.49662,137,7029,6999,7.02247,10
0.0790487,670,40,0.736084,39.2639,19.0446,-19.0446,40,0.5,468,467,0.498756,369,7077,7014,7.02247,10
0.114308,1720,40,1.88965,38.1104,32.7163,-32.7163,40,0.5,468,469,0.500892,512,6974,7015,7.02247,10
0.150217,3056,40,3.35742,36.6426,40.8751,-40.8751,40,0.5,468,466,0.497688,591,7086,7019,7.02247,10
0.184016,4457,40,4.89661,35.1034,45.5396,-45.5396,40,0.5,468,465,0.49662,650,7028,7017,7.02247,10
0.216921,5924,40,6.5083,33.4917,48.9801,-48.9801,40,0.5,468,468,0.499824,680,7096,7011,7.02247,10
0.250002,7478,40,8.21558,31.7844,51.6092,-51.6092,40,0.5,468,473,0.505164,699,7023,7015,7.02247,10
0.281885,9027,40,9.91736,30.0826,53.376,-53.376,40,0.5,468,471,0.503028,717,7024,7015,7.02247,10
0.317947,10813,40,11.8795,28.1205,54.4104,-54.4104,40,0.5,468,466,0.497688,735,6934,7023,7.02247,10
0.352049,12534,40,13.7703,26.2297,55.4441,-55.4441,40,0.5,468,491,0.524388,756,6983,7025,7.02247,10
0.386128,14307,40,15.7181,24.2819,57.1574,-57.1574,40,0.5,468,470,0.50196,763,7007,7027,7.02247,10
0.420165,16132,40,17.7231,22.2769,58.9068,-58.9068,40,0.5,468,467,0.498756,756,6997,7027,7.02247,10
0.458026,18062,40,19.8435,20.1565,56.0034,-56.0034,40,0.5,468,471,0.503028,777,7013,7020,7.02247,10
0.490086,19750,40,21.698,18.302,57.8454,-57.8454,40,0.5,468,467,0.498756,781,7077,7017,7.02247,10
0.524034,21564,40,23.6909,16.3091,58.7048,-58.7048,40,0.5,468,464,0.495552,804,6966,7015,7.02247,10
0.561409,23564,40,25.8882,14.1118,58.79,-58.79,40,0.5,468,467,0.498756,793,7064,7012,7.02247,10
0.592141,25228,40,27.7163,12.2837,59.4856,-59.4856,40,0.5,468,470,0.50196,798,7045,7021,7.02247,10
0.624,26965,40,29.6246,10.3754,59.8995,-59.8995,40,0.5,468,467,0.498756,791,6942,7013,7.02247,10
0.658028,28810,40,31.6516,8.34839,59.5666,-59.5666,40,0.5,468,467,0.498756,802,6975,7030,7.02247,10
0.691097,30601,40,33.6193,6.38074,59.5028,-59.5028,40,0.5,468,467,0.498756,793,7019,7024,7.02247,10
0.725969,32531,40,35.7396,4.26038,60.8032,-60.8032,20.1274,0.251592,236,466,0.497688,812,6930,7026,3.53359,10
0.758159,34281,40,37.6622,2.33777,59.7275,-59.7275,-7.9373,-0.0992163,-93,243,0.259524,729,3611,3564,-1.39349,10
0.790141,35722,40,39.2454,0.754639,49.5008,-49.5008,-24.321,-0.304012,-285,-91,-0.097188,429,-1369,-1356,-4.26984,10
0.820953,36362,40,39.9485,0.0515137,22.82,-22.82,-15.6577,-0.195721,-183,-284,-0.303312,66,-4238,-4253,-2.74889,10
0.854037,36257,40,39.8331,0.16687,-3.48673,3.48673,5.0135,0.0626687,59,-181,-0.193308,-155,-2775,-2743,0.880179,10
0.88695,35917,40,39.4596,0.540405,-11.3492,11.3492,16.2775,0.203469,191,65,0.06942,-95,850,864,2.85771,10
0.91912,35842,40,39.3772,0.622803,-2.56126,2.56126,11.1861,0.139827,131,189,0.201852,60,2852,2853,1.96386,10
0.952219,36052,40,39.6079,0.39209,6.97041,-6.97041,0.862652,0.0107832,10,130,0.13884,126,2008,1968,0.151449,10
0.982961,36272,40,39.8496,0.150391,7.86219,-7.86219,-3.40492,-0.0425615,-40,12,0.012816,66,161,157,-0.597774,10
1.01806,36347,40,39.932,0.0679932,2.3477,-2.3477,-0.67045,-0.00838062,-8,-41,-0.043788,-14,-580,-598,-0.117705,10
1.05415,36304,40,39.8848,0.115234,-1.30901,1.30901,2.671,0.0333875,31,-7,-0.007476,-10,-92,-123,0.468926,10
1.08908,36297,40,39.8771,0.122925,-0.220139,0.220139,2.00237,0.0250296,23,34,0.036312,8,498,462,0.35154,10
1.1242,36319,40,39.9012,0.0987549,0.688196,-0.688196,0.985822,0.0123228,12,25,0.0267,5,330,346,0.173073,10
1.1651,36325,40,39.9078,0.0921631,0.161166,-0.161166,1.26641,0.0158301,15,13,0.013884,0,137,180,0.222333,10
1.20219,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,14,0.014952,0,242,225,0.242705,10
1.23906,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,280,239,0.242705,10
1.27801,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,16,0.017088,0,236,240,0.242705,10
1.31345,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,260,240,0.242705,10
1.35076,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,276,240,0.242705,10
1.38729,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,286,240,0.242705,10
1.42304,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,210,239,0.242705,10
1.45809,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,13,0.013884,0,248,240,0.242705,10
1.496,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,16,0.017088,0,200,241,0.242705,10
1.53508,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,16,0.017088,0,258,240,0.242705,10
1.57408,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,16,0.017088,0,270,239,0.242705,10
1.61008,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,13,0.013884,0,260,241,0.242705,10
1.6461,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,232,239,0.242705,10
1.68316,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,254,240,0.242705,10
1.71616,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,17,0.018156,0,268,240,0.242705,10
1.76417,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,232,240,0.242705,10
1.79905,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,14,0.014952,0,264,240,0.242705,10
1.83406,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,258,241,0.242705,10
1.87102,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,14,0.014952,0,236,240,0.242705,10
1.90718,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,17,0.018156,0,280,240,0.242705,10
1.94414,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,17,0.018156,0,244,240,0.242705,10
1.97903,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,16,0.017088,0,264,240,0.242705,10
2.02106,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,16,0.017088,0,270,241,0.242705,10
2.05827,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,15,0.01602,0,238,241,0.242705,10
2.09567,36325,40,39.9078,0.0921631,0,0,1.38245,0.0172806,16,14,0.014952,0,232,240,0.242705,10
