time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_raw_Nm,tau_pd_joint_clamped_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
2.4e-06,-561,40,-0.616333,40.6163,0,0,203.082,40,0.5,468,-1,-0.001068,0,29,0,7.02247,10
0.0371116,-543,40,-0.596558,40.5966,0.532897,-0.532897,202.956,40,0.5,468,470,0.50196,158,7057,6997,7.02247,10
0.0759269,63,40,0.0692139,39.9308,17.1523,-17.1523,198.796,40,0.5,468,467,0.498756,351,7032,7020,7.02247,10
0.112921,1145,40,1.25793,38.7421,32.1326,-32.1326,192.104,40,0.5,468,466,0.497688,507,6981,7016,7.02247,10
0.147928,2416,40,2.6543,37.3457,39.888,-39.888,184.734,40,0.5,468,469,0.500892,573,7039,7014,7.02247,10
0.184852,3921,40,4.30774,35.6923,44.78,-44.78,176.222,40,0.5,468,474,0.506232,631,6973,7022,7.02247,10
0.218946,5444,40,5.98096,34.019,49.0768,-49.0768,167.641,40,0.5,468,463,0.494484,670,6978,7028,7.02247,10
0.250844,6910,40,7.59155,32.4084,50.4914,-50.4914,159.518,40,0.5,468,471,0.503028,704,6913,7023,7.02247,10
0.285847,8597,40,9.44495,30.5551,52.9494,-52.9494,150.128,40,0.5,468,464,0.495552,719,7015,7023,7.02247,10
0.316959,10137,40,11.1368,28.8632,54.381,-54.381,141.597,40,0.5,468,460,0.49128,722,7064,7013,7.02247,10
0.348894,11738,40,12.8958,27.1042,55.0777,-55.0777,132.767,40,0.5,468,470,0.50196,748,7055,7020,7.02247,10
0.382918,13447,40,14.7733,25.2267,55.1835,-55.1835,123.374,40,0.5,468,474,0.506232,746,6999,7017,7.02247,10
0.418866,15289,40,16.797,23.203,56.2949,-56.2949,113.2,40,0.5,468,469,0.500892,746,7054,7017,7.02247,10
0.452967,17069,40,18.7526,21.2474,57.3469,-57.3469,103.37,40,0.5,468,474,0.506232,749,6920,7024,7.02247,10
0.487861,18888,40,20.751,19.249,57.2713,-57.2713,93.3816,40,0.5,468,467,0.498756,770,7070,7021,7.02247,10
0.522895,20740,40,22.7856,17.2144,58.0759,-58.0759,83.168,40,0.5,468,469,0.500892,769,7118,7015,7.02247,10
0.558113,22582,40,24.8093,15.1907,57.4613,-57.4613,73.0803,40,0.5,468,471,0.503028,778,7132,7017,7.02247,10
0.589937,24282,40,26.677,13.323,58.6877,-58.6877,63.6806,40,0.5,468,473,0.505164,787,6960,7023,7.02247,10
0.620907,25948,40,28.5073,11.4927,59.101,-59.101,54.5083,40,0.5,468,460,0.49128,798,6983,7014,7.02247,10
0.656097,27845,40,30.5914,9.40857,59.2233,-59.2233,44.0817,40,0.5,468,472,0.504096,793,7057,7025,7.02247,10
0.689986,29670,40,32.5964,7.40356,59.1654,-59.1654,34.0596,34.0596,0.425744,399,468,0.499824,812,6982,7021,5.97956,10
0.724984,31593,40,34.7091,5.29089,60.3653,-60.3653,23.4362,23.4362,0.292953,274,397,0.423996,773,5978,5992,4.1145,10
0.760059,33405,40,36.6998,3.30017,56.7549,-56.7549,13.6631,13.6631,0.170789,160,275,0.2937,681,4137,4124,2.39872,10
0.792964,34816,40,38.25,1.75,47.1109,-47.1109,6.39445,6.39445,0.0799307,75,161,0.171948,513,2405,2415,1.12262,10
0.823839,35752,40,39.2783,0.72168,33.3058,-33.3058,1.94311,1.94311,0.0242889,23,74,0.079032,300,1178,1142,0.341136,10
0.857961,36335,40,39.9188,0.0811768,18.771,-18.771,-0.532669,-0.532669,-0.00665836,-6,22,0.023496,123,321,353,-0.0935163,10
0.891017,36542,40,40.1462,-0.14624,6.8797,-6.8797,-1.07519,-1.07519,-0.0134398,-13,-5,-0.00534,27,-110,-87,-0.188762,10
0.926298,36552,40,40.1572,-0.157227,0.311398,-0.311398,-0.801703,-0.801703,-0.0100213,-9,-13,-0.013884,-10,-159,-195,-0.140748,10
0.958019,36538,40,40.1418,-0.141846,-0.484877,0.484877,-0.684985,-0.684985,-0.00856231,-8,-9,-0.009612,-3,-100,-135,-0.120257,10
0.991969,36537,40,40.1407,-0.140747,-0.0323606,0.0323606,-0.702117,-0.702117,-0.00877647,-8,-11,-0.011748,0,-85,-119,-0.123265,10
1.02594,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-6,-0.006408,0,-92,-119,-0.123549,10
1.06096,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-8,-0.008544,0,-122,-120,-0.123549,10
1.09593,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-6,-0.006408,0,-137,-120,-0.123549,10
1.12804,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-10,-0.01068,0,-130,-120,-0.123549,10
1.16287,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-9,-0.009612,0,-159,-120,-0.123549,10
1.19797,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-8,-0.008544,0,-108,-120,-0.123549,10
1.23195,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-9,-0.009612,0,-144,-119,-0.123549,10
1.26496,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-8,-0.008544,0,-115,-120,-0.123549,10
1.29693,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-7,-0.007476,0,-122,-120,-0.123549,10
1.32995,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-11,-0.011748,0,-129,-120,-0.123549,10
1.36496,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-10,-0.01068,0,-136,-120,-0.123549,10
1.39798,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-9,-0.009612,0,-130,-120,-0.123549,10
1.433,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-7,-0.007476,0,-115,-120,-0.123549,10
1.46903,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-7,-0.007476,0,-145,-120,-0.123549,10
1.50311,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-11,-0.011748,0,-166,-120,-0.123549,10
1.53396,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-8,-0.008544,0,-115,-120,-0.123549,10
1.57097,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-8,-0.008544,0,-122,-120,-0.123549,10
1.60589,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-10,-0.01068,0,-129,-120,-0.123549,10
1.64301,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-7,-0.007476,0,-108,-120,-0.123549,10
1.67702,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-9,-0.009612,0,-108,-119,-0.123549,10
1.71206,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-11,-0.011748,0,-100,-120,-0.123549,10
1.748,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-8,-0.008544,0,-115,-121,-0.123549,10
1.78612,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-8,-0.008544,0,-138,-120,-0.123549,10
1.8232,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-7,-0.007476,0,-92,-119,-0.123549,10
1.85497,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-7,-0.007476,0,-129,-120,-0.123549,10
1.88696,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-7,-0.007476,0,-129,-120,-0.123549,10
1.91997,36537,40,40.1407,-0.140747,0,0,-0.703735,-0.703735,-0.00879669,-8,-10,-0.01068,0,-137,-120,-0.123549,10
