time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_raw_Nm,tau_pd_joint_clamped_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
2.464e-06,106,40,0.116455,39.8835,0,0,398.835,40,0.5,468,1,0.001068,0,21,-1,7.02247,10
0.0399802,129,40,0.141724,39.8583,0.632065,-0.632065,398.33,40,0.5,468,468,0.499824,158,7000,6999,7.02247,10
0.0779631,798,40,0.876709,39.1233,19.3504,-19.3504,383.493,40,0.5,468,466,0.497688,389,7052,7011,7.02247,10
0.115056,1920,40,2.10938,37.8906,33.2316,-33.2316,365.614,40,0.5,468,471,0.503028,508,7019,7006,7.02247,10
0.148965,3147,40,3.4574,36.5426,39.7541,-39.7541,349.524,40,0.5,468,459,0.490212,576,7076,7021,7.02247,10
0.180922,4463,40,4.9032,35.0968,45.2432,-45.2432,332.871,40,0.5,468,465,0.49662,635,7044,7022,7.02247,10
0.211981,5830,40,6.40503,33.595,48.3541,-48.3541,316.608,40,0.5,468,469,0.500892,661,7029,7017,7.02247,10
0.243871,7291,40,8.01013,31.9899,50.3314,-50.3314,299.766,40,0.5,468,471,0.503028,684,6935,7026,7.02247,10
0.276914,8835,40,9.70642,30.2936,51.3357,-51.3357,282.402,40,0.5,468,466,0.497688,708,7037,7015,7.02247,10
0.310999,10496,40,11.5312,28.4688,53.5373,-53.5373,263.273,40,0.5,468,470,0.50196,711,7023,7023,7.02247,10
0.345976,12228,40,13.4341,26.5659,54.4035,-54.4035,243.898,40,0.5,468,462,0.493416,730,7026,7016,7.02247,10
0.383905,14113,40,15.505,24.495,54.5994,-54.5994,223.11,40,0.5,468,467,0.498756,738,6974,7019,7.02247,10
0.419027,15894,40,17.4617,22.5383,55.71,-55.71,203.099,40,0.5,468,471,0.503028,749,7015,7025,7.02247,10
0.451896,17588,40,19.3228,20.6772,56.6216,-56.6216,184.124,40,0.5,468,468,0.499824,748,6933,7028,7.02247,10
0.488904,19478,40,21.3992,18.6008,56.1082,-56.1082,163.565,40,0.5,468,469,0.500892,749,7033,7016,7.02247,10
0.522961,21242,40,23.3372,16.6628,56.9043,-56.9043,143.867,40,0.5,468,462,0.493416,758,7067,7017,7.02247,10
0.557883,23061,40,25.3356,14.6644,57.2252,-57.2252,123.754,40,0.5,468,466,0.497688,758,6897,7022,7.02247,10
0.589963,24762,40,27.2043,12.7957,58.2529,-58.2529,104.655,40,0.5,468,472,0.504096,765,7024,7027,7.02247,10
0.623893,26558,40,29.1775,10.8225,58.1526,-58.1526,84.964,40,0.5,468,468,0.499824,768,7062,7013,7.02247,10
0.657121,28312,40,31.1045,8.89551,57.9933,-57.9933,65.7577,40,0.5,468,466,0.497688,778,7049,7013,7.02247,10
0.693084,30229,40,33.2106,6.78943,58.5632,-58.5632,44.469,40,0.5,468,468,0.499824,783,7034,7014,7.02247,10
0.724999,31943,40,35.0936,4.90637,59.0021,-59.0021,25.4629,25.4629,0.318286,298,465,0.49662,774,7142,7011,4.47031,10
0.757959,33720,40,37.0459,2.9541,59.2321,-59.2321,5.84817,5.84817,0.0731021,68,298,0.318264,740,4444,4483,1.02672,10
0.79194,35288,40,38.7686,1.23145,50.6938,-50.6938,-7.96305,-7.96305,-0.0995382,-93,65,0.06942,504,1020,1040,-1.39801,10
0.826897,36238,40,39.8123,0.187744,29.8573,-29.8573,-10.0655,-10.0655,-0.125818,-118,-92,-0.098256,226,-1333,-1374,-1.76711,10
0.858142,36475,40,40.0726,-0.0726318,8.33315,-8.33315,-4.05958,-4.05958,-0.0507447,-48,-118,-0.126024,-3,-1790,-1766,-0.712707,10
0.892992,36370,40,39.9573,0.0427246,-3.31013,3.31013,1.7513,1.7513,0.0218912,20,-48,-0.051264,-53,-711,-723,0.307461,10
0.925973,36273,40,39.8507,0.149292,-3.2312,3.2312,2.7854,2.7854,0.0348175,33,22,0.023496,-10,347,294,0.48901,10
0.960966,36280,40,39.8584,0.141602,0.219766,-0.219766,1.32811,1.32811,0.0166014,16,34,0.036312,11,479,495,0.233165,10
0.995885,36304,40,39.8848,0.115234,0.755106,-0.755106,0.850301,0.850301,0.0106288,10,15,0.01602,6,261,241,0.14928,10
1.02997,36309,40,39.8903,0.109741,0.161153,-0.161153,1.03295,1.03295,0.0129119,12,11,0.011748,0,123,151,0.181347,10
1.06196,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,12,0.012816,0,222,180,0.192664,10
1.09193,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,13,0.013884,0,182,195,0.192664,10
1.12393,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,20,0.02136,0,202,194,0.192664,10
1.15699,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,12,0.012816,0,182,194,0.192664,10
1.18998,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,15,0.01602,0,202,194,0.192664,10
1.22469,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,13,0.013884,0,242,195,0.192664,10
1.25995,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,11,0.011748,0,202,196,0.192664,10
1.29297,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,11,0.011748,0,222,196,0.192664,10
1.32498,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,12,0.012816,0,162,195,0.192664,10
1.35628,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,12,0.012816,0,222,195,0.192664,10
1.38692,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,13,0.013884,0,182,194,0.192664,10
1.41793,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,12,0.012816,0,202,196,0.192664,10
1.4513,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,11,0.011748,0,202,196,0.192664,10
1.48607,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,13,0.013884,0,222,195,0.192664,10
1.52015,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,15,0.01602,0,222,195,0.192664,10
1.55087,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,15,0.01602,0,202,194,0.192664,10
1.585,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,15,0.01602,0,162,195,0.192664,10
1.61791,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,15,0.01602,0,143,196,0.192664,10
1.654,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,13,0.013884,0,163,197,0.192664,10
1.68597,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,13,0.013884,0,182,196,0.192664,10
1.72117,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,13,0.013884,0,163,194,0.192664,10
1.75719,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,16,0.017088,0,222,196,0.192664,10
1.79215,36309,40,39.8903,0.109741,0,0,1.09741,1.09741,0.0137177,13,13,0.013884,0,202,193,0.192664,10
