time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_raw_Nm,tau_pd_joint_clamped_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
4.096e-06,-47,40,-0.0516357,40.0516,0,0,400.516,100,1.25,600,1,0.001068,0,5,-5,17.5562,10
0.0397324,-14,40,-0.0153809,40.0154,0.912571,-0.912571,399.789,100,1.25,600,597,0.637596,189,8989,8986,17.5562,10
0.0819044,975,40,1.07117,38.9288,25.7647,-25.7647,378.982,100,1.25,600,598,0.638664,535,9015,8987,17.5562,10
0.118771,2498,40,2.74438,37.2556,45.3861,-45.3861,354.402,100,1.25,600,597,0.637596,724,8934,8991,17.5562,10
0.160842,4754,40,5.2229,34.7771,58.9128,-58.9128,324.206,100,1.25,600,599,0.639732,857,9020,8992,17.5562,10
0.194647,6830,40,7.50366,32.4963,67.4672,-67.4672,297.977,100,1.25,600,598,0.638664,949,9005,9000,17.5562,10
0.229932,9271,40,10.1854,29.8146,76.0023,-76.0023,267.745,100,1.25,600,595,0.63546,1014,8993,8993,17.5562,10
0.261817,11383,40,12.5057,27.4943,72.771,-72.771,245.834,100,1.25,600,586,0.625848,1063,8933,8996,17.5562,10
0.297867,14034,40,15.4182,24.5818,80.7919,-80.7919,213.501,100,1.25,600,598,0.638664,1101,8925,8992,17.5562,10
0.331854,16629,40,18.2692,21.7308,83.8822,-83.8822,183.755,100,1.25,600,601,0.641868,1140,8980,8992,17.5562,10
0.366855,19409,40,21.3234,18.6766,87.2615,-87.2615,151.862,100,1.25,600,601,0.641868,1173,9021,9001,17.5562,10
0.401119,22201,40,24.3907,15.6093,89.5213,-89.5213,120.284,100,1.25,600,598,0.638664,1207,9030,9004,17.5562,10
0.43388,24888,40,27.3428,12.6572,90.1066,-90.1066,90.5296,90.5296,1.13162,600,594,0.634392,1233,8854,8995,15.8935,10
0.469769,27972,40,30.731,9.26904,94.4077,-94.4077,54.9274,54.9274,0.686592,600,610,0.65148,1249,9061,8994,9.64315,10
0.505868,31090,40,34.1565,5.84351,94.8942,-94.8942,20.4774,20.4774,0.255967,240,599,0.639732,1279,8996,9004,3.59505,10
0.538832,33966,40,37.3162,2.68384,95.8512,-95.8512,-11.5021,-11.5021,-0.143776,-135,246,0.262728,1196,3616,3625,-2.01933,10
0.573881,36524,40,40.1265,-0.126465,80.1824,-80.1824,-33.3376,-33.3376,-0.41672,-390,-132,-0.140976,761,-2091,-1981,-5.85281,10
0.606888,37792,40,41.5195,-1.51953,42.2056,-42.2056,-32.0776,-32.0776,-0.40097,-375,-389,-0.415452,162,-5873,-5816,-5.63159,10
0.638854,37814,40,41.5437,-1.5437,0.756101,-0.756101,-15.7395,-15.7395,-0.196743,-184,-374,-0.399432,-190,-5548,-5614,-2.76325,10
0.67704,37123,40,40.7845,-0.784546,-19.8803,19.8803,0.106665,0.106665,0.00133331,1,-183,-0.195444,-271,-2738,-2769,0.0187262,10
0.708932,36527,40,40.1298,-0.129761,-20.5315,20.5315,6.91498,6.91498,0.0864372,81,-3,-0.003204,-200,-25,-2,1.21401,10
0.740836,36266,40,39.843,0.156982,-8.98769,8.98769,5.1649,5.1649,0.0645612,60,81,0.086508,-18,1168,1208,0.906759,10
