t_s,q_des_deg,qd_des_deg_s,qdd_des_deg_s2,q_act_joint_deg,qd_act_joint_deg_s,e_pos_deg,e_vel_deg_s,tau_joint_ff_Nm,tau_joint_pd_Nm,tau_joint_total_Nm,tau_dead_motor_Nm,tau_motor_ff_Nm,tau_motor_pd_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_pos_deg,motor_vel_native
0.000000,0.000000,943.265500,0.000000,0.008514,0.000000,-0.008514,943.265500,0.000000,0.493774,0.493774,0.050000,0.000000,0.006172,0.056172,0.000000,155,0.681152,0
0.002000,1.886531,942.799250,0.000000,0.008514,0.000000,1.878017,942.799250,0.027289,0.519871,0.547160,0.050000,0.000341,0.006498,0.056839,0.056604,155,0.681152,8
0.004000,3.771197,941.400750,-37.220226,0.009119,0.302124,3.762078,941.098626,0.041649,0.545287,0.586936,0.050000,0.000521,0.006816,0.057337,0.054468,166,0.729492,6
0.006000,5.652134,939.071000,-55.784328,0.009448,0.164795,5.642686,938.906205,0.062349,0.570397,0.632746,0.050000,0.000779,0.007130,0.057909,0.056604,172,0.755859,3
0.008000,7.527481,935.812750,-74.293267,0.009613,0.082397,7.517868,935.730353,0.082899,0.594917,0.677816,0.050000,0.001036,0.007436,0.058473,0.061944,175,0.769043,2
0.010000,9.395385,931.629250,-92.728741,0.009778,0.082397,9.385607,931.546853,0.103253,0.618805,0.722057,0.050000,0.001291,0.007735,0.059026,0.058740,178,0.782227,1
0.012000,11.253998,926.524500,-111.072519,0.009833,0.027466,11.244165,926.497034,0.123362,0.642111,0.765473,0.050000,0.001542,0.008026,0.059568,0.059808,179,0.786621,1
0.014000,13.101483,920.503500,-129.306462,0.009833,0.000000,13.091650,920.503500,0.143183,0.664768,0.807951,0.050000,0.001790,0.008310,0.060099,0.058740,179,0.786621,1
0.016000,14.936012,913.572250,-147.412541,0.009833,0.000000,14.926179,913.572250,0.162671,0.686754,0.849425,0.050000,0.002033,0.008584,0.060618,0.058740,179,0.786621,0
0.018000,16.755772,905.737500,-165.372849,0.009833,0.000000,16.745939,905.737500,0.181786,0.708060,0.889846,0.050000,0.002272,0.008851,0.061123,0.058740,179,0.786621,0
0.020000,18.558962,897.007250,-183.169628,0.009833,0.000000,18.549129,897.007250,0.200489,0.728667,0.929156,0.050000,0.002506,0.009108,0.061614,0.058740,179,0.786621,0
