t_s,q_ref_deg,qd_ref_deg_s,qdd_ref_deg_s2,q_link_deg,qd_link_deg_s,pos_error_deg,vel_error_deg_s,tau_joint_ff_Nm,tau_pd_joint_Nm,tau_joint_total_Nm,tau_dead_motor_Nm,tau_motor_cmd_Nm,tau_motor_actual_Nm,motor_pos_counts,motor_vel_native
0.000000,0.000000,943.265500,0.000000,0.000000,0.000000,0.000000,943.265500,0.000000,0.823154,0.823154,0.160200,0.170489,-0.001068,0,0
0.002000,1.886531,942.799250,0.000000,0.001099,0.549316,1.885432,942.249934,0.027289,0.855175,0.882464,0.160200,0.171231,0.173016,1,16
0.004000,3.771197,941.400750,-37.220226,0.032959,15.930176,3.738238,925.470574,0.041649,0.872870,0.914519,0.160200,0.171631,0.174084,30,36
0.006000,5.652134,939.071000,-55.784328,0.083496,25.268555,5.568638,913.802445,0.062349,0.894634,0.956983,0.160200,0.172162,0.171948,76,45
0.008000,7.527481,935.812750,-74.293267,0.146118,31.311035,7.381363,904.501715,0.082899,0.918156,1.001055,0.160200,0.172713,0.170880,133,59
0.010000,9.395385,931.629250,-92.728741,0.225220,39.550781,9.170165,892.078469,0.103253,0.938535,1.041788,0.160200,0.173222,0.176220,205,64
0.012000,11.253998,926.524500,-111.072519,0.314209,44.494629,10.939789,882.029871,0.123362,0.960652,1.084014,0.160200,0.173750,0.176220,286,80
0.014000,13.101483,920.503500,-129.306462,0.405396,45.593262,12.696087,874.910238,0.143183,0.985092,1.128274,0.160200,0.174303,0.170880,369,77
0.016000,14.936012,913.572250,-147.412541,0.499878,47.241211,14.436134,866.331039,0.162671,1.007975,1.170645,0.160200,0.174833,0.174084,455,81
0.018000,16.755772,905.737500,-165.372849,0.616333,58.227539,16.139439,847.509961,0.181786,1.021278,1.203064,0.160200,0.175238,0.179424,561,67
0.020000,18.558962,897.007250,-183.169628,0.715210,49.438477,17.843752,847.568773,0.200489,1.051076,1.251564,0.160200,0.175845,0.178356,651,82
0.022000,20.343801,887.390000,-200.785278,0.821777,53.283691,19.522024,834.106309,0.218745,1.068619,1.287363,0.160200,0.176292,0.173016,748,84
0.024000,22.108522,876.895000,-218.202380,0.938232,58.227539,21.170290,818.667461,0.236520,1.083913,1.320433,0.160200,0.176705,0.174084,854,92
0.026000,23.851381,865.533250,-235.403712,1.054688,58.227539,22.796693,807.305711,0.253784,1.102384,1.356169,0.160200,0.177152,0.176220,960,71
0.028000,25.570655,853.315500,-252.372264,1.170044,57.678223,24.400611,795.637277,0.270511,1.120196,1.390707,0.160200,0.177584,0.171948,1065,82
0.030000,27.264643,840.253750,-269.091255,1.291992,60.974121,25.972651,779.279629,0.286677,1.133358,1.420035,0.160200,0.177950,0.175152,1176,84
0.032000,28.931670,826.361000,-285.544154,1.406250,57.128906,27.525420,769.232094,0.302262,1.151691,1.453953,0.160200,0.178374,0.178356,1280,85
0.034000,30.570087,811.651500,-301.714692,1.526001,59.875488,29.044086,751.776012,0.317249,1.162963,1.480212,0.160200,0.178703,0.179424,1389,77
0.036000,32.178276,796.139500,-317.586877,1.628174,51.086426,30.550102,745.053074,0.331624,1.183381,1.515005,0.160200,0.179138,0.177288,1482,88
0.038000,33.754645,779.839750,-333.145014,1.745728,58.776855,32.008917,721.062895,0.345377,1.187907,1.533284,0.160200,0.179366,0.178356,1589,87
0.040000,35.297635,762.769000,-348.373719,1.848999,51.635742,33.448636,711.133258,0.358502,1.204370,1.562871,0.160200,0.179736,0.178356,1683,78
0.042000,36.805721,744.944000,-363.257932,1.946777,48.889160,34.858944,696.054840,0.370994,1.215826,1.586819,0.160200,0.180035,0.180492,1772,69
0.044000,38.277411,726.382500,-377.782936,2.053345,53.283691,36.224066,673.098809,0.382852,1.219619,1.602471,0.160200,0.180231,0.178356,1869,93
0.046000,39.711251,707.102750,-391.934367,2.151123,48.889160,37.560128,658.213590,0.394081,1.229948,1.624028,0.160200,0.180500,0.179424,1958,87
0.048000,41.105822,687.123500,-405.698231,2.257690,53.283691,38.848132,633.839809,0.404683,1.231157,1.635841,0.160200,0.180648,0.179424,2055,96
0.050000,42.459745,666.465000,-419.060918,2.362061,52.185059,40.097684,614.279941,0.414668,1.235897,1.650565,0.160200,0.180832,0.178356,2150,73
0.052000,43.771682,645.147500,-432.009215,2.459839,48.889160,41.311843,596.258340,0.424045,1.241361,1.665407,0.160200,0.181018,0.181560,2239,91
0.054000,45.040335,623.191750,-444.530316,2.559814,49.987793,42.480521,573.203957,0.432827,1.241640,1.674467,0.160200,0.181131,0.182628,2330,97
0.056000,46.264449,600.619750,-456.611842,2.661987,51.086426,43.602462,549.533324,0.441028,1.240565,1.681593,0.160200,0.181220,0.180492,2423,77
0.058000,47.442814,577.454250,-468.241844,2.774048,56.030273,44.668766,521.423977,0.448665,1.234645,1.683310,0.160200,0.181241,0.183696,2525,78
0.060000,48.574266,553.717500,-479.408822,2.894897,60.424805,45.679369,493.292695,0.455754,1.227734,1.683489,0.160200,0.181244,0.181560,2635,75
0.062000,49.657684,529.433000,-490.101734,3.004761,54.931641,46.652923,474.501359,0.462316,1.228328,1.690643,0.160200,0.181333,0.184764,2735,85
0.064000,50.691998,504.625250,-500.310006,3.112427,53.833008,47.579571,450.792242,0.468369,1.223811,1.692179,0.160200,0.181352,0.180492,2833,107
0.066000,51.676185,479.318500,-510.023544,3.232178,59.875488,48.444007,419.443012,0.473935,1.211541,1.685475,0.160200,0.181268,0.177288,2942,93
0.068000,52.609272,453.537750,-519.232741,3.361816,64.819336,49.247456,388.718414,0.479034,1.198751,1.677785,0.160200,0.181172,0.182628,3060,85
0.070000,53.490336,427.308250,-527.928493,3.480469,59.326172,50.009867,367.982078,0.483689,1.193962,1.677651,0.160200,0.181171,0.182628,3168,88
