t_s,qd_deg,q_deg,e_deg,tq_cmd_permille,tq_act_permille,pos_counts,qd_counts,qd_dot_counts_s,qdot_counts_s
0.000000,0.000003,-4.354980,4.354983,100,102,-3964,0,11438.189786,0.000000
0.013841,0.173926,-4.351685,4.525610,100,49,-3961,158,11437.757268,600.000000
0.027856,0.350027,-4.343994,4.694021,100,54,-3954,319,11436.437909,1400.000000
0.039847,0.500678,-4.339600,4.840278,100,66,-3950,456,11434.605084,800.000000
0.053831,0.676329,-4.331909,5.008239,100,72,-3943,616,11431.647825,1400.000000
0.066833,0.839597,-4.320923,5.160520,100,83,-3933,764,11428.106537,2000.000000
0.078832,0.990225,-4.307739,5.297964,100,90,-3921,901,11424.161597,2400.000000
0.091858,1.153685,-4.290161,5.443846,100,95,-3905,1050,11419.143786,3200.000000
0.105814,1.328714,-4.265991,5.594705,100,101,-3883,1209,11412.919490,4400.000000
0.118863,1.492291,-4.237427,5.729717,100,100,-3857,1358,11406.305266,5200.000000
0.133892,1.680558,-4.205566,5.886125,100,99,-3828,1530,11397.737491,5800.000000
0.147828,1.854992,-4.178101,6.033093,100,105,-3803,1688,11388.885056,5000.000000
0.161903,2.031028,-4.147339,6.178366,100,101,-3775,1849,11379.057729,5600.000000
0.175850,2.205304,-4.116577,6.321882,100,100,-3747,2007,11368.441981,5600.000000
0.191005,2.394479,-4.081421,6.475900,100,99,-3715,2180,11355.917428,6400.000000
0.205885,2.580017,-4.044067,6.624085,100,100,-3681,2348,11342.617766,6800.000000
0.218898,2.742093,-4.010010,6.752103,100,102,-3650,2496,11330.174004,6200.000000
0.232820,2.915285,-3.971558,6.886842,100,103,-3615,2654,11316.022558,7000.000000
0.247910,3.102749,-3.934204,7.036953,100,101,-3581,2824,11299.706415,6800.000000
0.262842,3.287981,-3.897949,7.185930,100,102,-3548,2993,11282.560826,6600.000000
0.275838,3.448961,-3.863892,7.312853,100,100,-3517,3139,11266.829851,6200.000000
0.289820,3.621896,-3.828735,7.450631,100,100,-3485,3297,11249.066681,6400.000000
0.302856,3.782870,-3.794678,7.577548,100,100,-3454,3443,11231.724245,6200.000000
0.315854,3.943139,-3.759521,7.702660,100,104,-3422,3589,11213.680346,6400.000000
0.328847,4.103070,-3.724365,7.827436,100,79,-3390,3735,11194.897280,6400.000000
0.342882,4.275526,-3.690308,7.965834,100,98,-3359,3892,11173.769024,6200.000000
0.356863,4.446995,-3.656250,8.103245,100,97,-3328,4048,11151.857251,6200.000000
0.369840,4.605829,-3.623291,8.229120,100,101,-3298,4192,11130.750682,6000.000000
0.384900,4.789786,-3.587036,8.376822,100,99,-3265,4360,11105.327075,6600.000000
0.398839,4.959668,-3.551880,8.511547,100,98,-3233,4514,11080.909775,6400.000000
0.412837,5.129885,-3.514526,8.644411,100,100,-3199,4669,11055.533783,6800.000000
0.426898,5.300463,-3.478271,8.778735,100,98,-3166,4825,11029.183539,6600.000000
0.440887,5.469756,-3.443115,8.912871,100,99,-3134,4979,11002.114201,6400.000000
0.453849,5.626251,-3.411255,9.037506,100,98,-3105,5121,10976.272169,5800.000000
0.466856,5.782908,-3.380493,9.163401,100,100,-3077,5264,10949.609702,5600.000000
0.480837,5.950870,-3.347534,9.298404,100,104,-3047,5417,10920.134251,6000.000000
0.494870,6.118997,-3.314575,9.433573,100,103,-3017,5570,10889.701417,6000.000000
0.508840,6.285890,-3.279419,9.565309,100,102,-2985,5722,10858.565665,6400.000000
0.523847,6.464640,-3.238770,9.703409,100,98,-2948,5884,10824.184961,7400.000000
0.536871,6.619299,-3.206909,9.826208,100,100,-2919,6025,10793.568243,5800.000000
0.550835,6.784636,-3.173950,9.958586,100,101,-2889,6176,10759.937410,6000.000000
0.563860,6.938369,-3.142090,10.080459,100,97,-2860,6315,10727.824476,5800.000000
0.576842,7.091151,-3.111328,10.202479,100,103,-2832,6455,10695.098656,5600.000000
0.591884,7.267571,-3.073975,10.341546,100,100,-2798,6615,10656.293177,6800.000000
