time_s,target_joint_deg,actual_joint_deg,target_counts,actual_counts,error_counts,error_joint_deg,statusword_hex
0.0139972,19.9995,-0.435059,-18204,396,-18600,20.4346,0x37
0.0789273,19.9995,-0.435059,-18204,396,-18600,20.4346,0x37
0.144964,19.9995,-0.432861,-18204,394,-18598,20.4324,0x37
0.208943,19.9995,-0.415283,-18204,378,-18582,20.4148,0x37
0.27495,19.9995,-0.322998,-18204,294,-18498,20.3225,0x37
0.339917,19.9995,-0.109863,-18204,100,-18304,20.1094,0x37
0.404968,19.9995,0.269165,-18204,-245,-17959,19.7303,0x37
0.469931,19.9995,0.794312,-18204,-723,-17481,19.2052,0x37
0.533978,19.9995,1.42493,-18204,-1297,-16907,18.5746,0x37
0.597096,19.9995,2.14124,-18204,-1949,-16255,17.8583,0x37
0.662176,19.9995,2.91687,-18204,-2655,-15549,17.0826,0x37
0.725965,19.9995,3.6936,-18204,-3362,-14842,16.3059,0x37
0.790063,19.9995,4.44946,-18204,-4050,-14154,15.55,0x37
0.854098,19.9995,5.21851,-18204,-4750,-13454,14.781,0x37
0.921099,19.9995,5.96228,-18204,-5427,-12777,14.0372,0x37
0.985123,19.9995,6.75439,-18204,-6148,-12056,13.2451,0x37
1.04933,19.9995,7.53113,-18204,-6855,-11349,12.4684,0x37
1.11501,19.9995,8.26721,-18204,-7525,-10679,11.7323,0x37
1.181,19.9995,9.03406,-18204,-8223,-9981,10.9655,0x37
1.24494,19.9995,9.81958,-18204,-8938,-9266,10.1799,0x37
1.30896,19.9995,10.5623,-18204,-9614,-8590,9.43726,0x37
1.37399,19.9995,11.3137,-18204,-10298,-7906,8.68579,0x37
1.43803,19.9995,12.0948,-18204,-11009,-7195,7.90466,0x37
1.50201,19.9995,12.8342,-18204,-11682,-6522,7.16528,0x37
1.56704,19.9995,13.5824,-18204,-12363,-5841,6.41711,0x37
1.63314,19.9995,14.3514,-18204,-13063,-5141,5.64807,0x37
1.7,19.9995,15.1128,-18204,-13756,-4448,4.88672,0x37
1.76625,19.9995,15.8873,-18204,-14461,-3743,4.11218,0x37
1.8311,19.9995,16.6674,-18204,-15171,-3033,3.33215,0x37
1.89596,19.9995,17.3848,-18204,-15824,-2380,2.61475,0x37
1.96204,19.9995,18.0626,-18204,-16441,-1763,1.93689,0x37
2.02693,19.9995,18.6844,-18204,-17007,-1197,1.31506,0x37
2.09109,19.9995,19.1722,-18204,-17451,-753,0.827271,0x37
2.15603,19.9995,19.5721,-18204,-17815,-389,0.427368,0x37
2.22017,19.9995,19.9072,-18204,-18120,-84,0.0922852,0x37
