time_s,target_joint_deg,actual_joint_deg,target_counts,actual_counts,error_counts,error_joint_deg,statusword_hex
0.0147613,0,20.328,0,18503,-18503,-20.328,0x37
0.0778362,0,20.3269,0,18502,-18502,-20.3269,0x37
0.141883,0,20.3159,0,18492,-18492,-20.3159,0x37
0.206884,0,20.2753,0,18455,-18455,-20.2753,0x37
0.272956,0,20.1577,0,18348,-18348,-20.1577,0x37
0.337944,0,19.9281,0,18139,-18139,-19.9281,0x37
0.403968,0,19.6018,0,17842,-17842,-19.6018,0x37
0.469294,0,19.1041,0,17389,-17389,-19.1041,0x37
0.534933,0,18.4636,0,16806,-16806,-18.4636,0x37
0.599019,0,17.7429,0,16150,-16150,-17.7429,0x37
0.663984,0,16.9838,0,15459,-15459,-16.9838,0x37
0.727102,0,16.1949,0,14741,-14741,-16.1949,0x37
0.792886,0,15.4358,0,14050,-14050,-15.4358,0x37
0.855914,0,14.6635,0,13347,-13347,-14.6635,0x37
0.921933,0,13.9296,0,12679,-12679,-13.9296,0x37
0.987051,0,13.1671,0,11985,-11985,-13.1671,0x37
1.05194,0,12.3893,0,11277,-11277,-12.3893,0x37
1.11992,0,11.5873,0,10547,-10547,-11.5873,0x37
1.18408,0,10.782,0,9814,-9814,-10.782,0x37
1.24891,0,10.0239,0,9124,-9124,-10.0239,0x37
1.31293,0,9.25598,0,8425,-8425,-9.25598,0x37
1.37898,0,8.49023,0,7728,-7728,-8.49023,0x37
1.4441,0,7.73657,0,7042,-7042,-7.73657,0x37
1.50796,0,6.98181,0,6355,-6355,-6.98181,0x37
1.57395,0,6.24792,0,5687,-5687,-6.24792,0x37
1.63793,0,5.47119,0,4980,-4980,-5.47119,0x37
1.70198,0,4.72852,0,4304,-4304,-4.72852,0x37
1.76697,0,3.98694,0,3629,-3629,-3.98694,0x37
1.83196,0,3.20911,0,2921,-2921,-3.20911,0x37
1.8985,0,2.48181,0,2259,-2259,-2.48181,0x37
1.96297,0,1.79517,0,1634,-1634,-1.79517,0x37
2.02744,0,1.2085,0,1100,-1100,-1.2085,0x37
2.0929,0,0.702026,0,639,-639,-0.702026,0x37
2.15799,0,0.299927,0,273,-273,-0.299927,0x37
2.22294,0,0,0,0,0,0,0x37
