time_s,target_joint_deg,actual_joint_deg,error_joint_deg,velocity_actual_avg_units,joint_velocity_est_deg_s,current_actual_mA,current_actual_avg_mA,torque_actual_avg_raw_per_1000,motor_rated_torque_mNm,motor_torque_actual_avg_Nm,joint_torque_est_avg_Nm_no_efficiency,
0.0368713,30.0004,-0.0373535,30.0377,0,0,78,71,8,1068000,8.544,683.52,
0.119823,30.0004,-0.0296631,30.03,3,0.225,698,662,49,1068000,52.332,4186.56,
0.200804,30.0004,0.074707,29.9257,23,1.725,1706,1596,113,1068000,120.684,9654.72,
0.285817,30.0004,0.363647,29.6367,60,4.5,2804,2669,186,1068000,198.648,15891.8,
0.367822,30.0004,1.00635,28.994,124,9.3,3694,3594,244,1068000,260.592,20847.4,
0.451828,30.0004,2.0918,27.9086,195,14.625,4208,4148,281,1068000,300.108,24008.6,
0.535856,30.0004,3.56067,26.4397,250,18.75,4711,4649,312,1068000,333.216,26657.3,
0.617825,30.0004,5.40417,24.5962,305,22.875,5114,5001,336,1068000,358.848,28707.8,
0.696808,30.0004,7.474,22.5264,348,26.1,5402,5380,361,1068000,385.548,30843.8,
0.776831,30.0004,9.78882,20.2115,399,29.925,5700,5680,381,1068000,406.908,32552.6,
0.856914,30.0004,12.3596,17.6407,430,32.25,3789,4257,248,1068000,264.864,21189.1,
