time_s,target_position_0x607A_counts,target_joint_deg,position_demand_0x6062_counts,position_demand_joint_deg,position_actual_0x6064_counts,actual_joint_deg,target_minus_actual_counts,target_minus_actual_deg,following_error_actual_0x60F4_counts,following_error_actual_deg,manual_following_error_6062_minus_6064_counts,manual_following_error_deg,following_error_window_0x6065_counts,following_error_window_deg,velocity_actual_avg_units,joint_velocity_est_deg_s,current_actual_mA,current_actual_avg_mA,torque_actual_avg_raw_per_1000,motor_rated_torque_mNm,motor_torque_actual_avg_Nm,joint_torque_est_avg_Nm_no_efficiency,statusword_hex
0.0460993,0,0,60216,66.1553,60225,66.1652,-60225,-66.1652,-13,-0.0142822,-9,-0.0098877,2000,2.19727,0,0,-128,-99,-9,1068000,-9.612,-768.96,0x37
0.147612,0,0,59981,65.8971,60212,66.1509,-60212,-66.1509,-240,-0.263672,-231,-0.253784,2000,2.19727,-8,-0.6,-890,-789,-59,1068000,-63.012,-5040.96,0x37
0.250269,0,0,59387,65.2445,60054,65.9773,-60054,-65.9773,-665,-0.730591,-667,-0.732788,2000,2.19727,-40,-3,-1953,-1898,-134,1068000,-143.112,-11449,0x37
0.348955,0,0,58452,64.2173,59573,65.4489,-59573,-65.4489,-1073,-1.17883,-1121,-1.23157,2000,2.19727,-104,-7.8,-2881,-2845,-195,1068000,-208.26,-16660.8,0x37
0.448059,0,0,57175,62.8143,58590,64.3689,-58590,-64.3689,-1308,-1.43701,-1415,-1.55457,2000,2.19727,-176,-13.2,-3481,-3442,-233,1068000,-248.844,-19907.5,0x37
0.546193,0,0,55584,61.0664,57187,62.8275,-57187,-62.8275,-1449,-1.59192,-1603,-1.76111,2000,2.19727,-235,-17.625,-3994,-3894,-263,1068000,-280.884,-22470.7,0x37
0.641563,0,0,53693,58.9889,55425,60.8917,-55425,-60.8917,-1554,-1.70728,-1732,-1.90283,2000,2.19727,-289,-21.675,-4283,-4295,-288,1068000,-307.584,-24606.7,0x37
0.741972,0,0,51508,56.5884,53363,58.6263,-53363,-58.6263,-1649,-1.81165,-1855,-2.03796,2000,2.19727,-336,-25.2,-4790,-4727,-318,1068000,-339.624,-27169.9,0x37
0.841029,0,0,48866,53.6858,50847,55.8622,-50847,-55.8622,-1720,-1.88965,-1981,-2.17639,2000,2.19727,-393,-29.475,-5080,-5055,-340,1068000,-363.12,-29049.6,0x37
0.941325,0,0,45923,50.4525,47995,52.7289,-47995,-52.7289,-1753,-1.9259,-2072,-2.27637,2000,2.19727,-447,-33.525,-5403,-5317,-356,1068000,-380.208,-30416.6,0x37
1.03999,0,0,42659,46.8666,44776,49.1924,-44776,-49.1924,-1775,-1.95007,-2117,-2.32581,2000,2.19727,-494,-37.05,-5545,-5550,-370,1068000,-395.16,-31612.8,0x37
1.13593,0,0,39355,43.2367,41338,45.4153,-41338,-45.4153,-1675,-1.84021,-1983,-2.17859,2000,2.19727,-521,-39.075,-5310,-5433,-361,1068000,-385.548,-30843.8,0x37
1.23104,0,0,36038,39.5925,37872,41.6074,-37872,-41.6074,-1517,-1.66663,-1834,-2.01489,2000,2.19727,-520,-39,-5274,-5304,-353,1068000,-377.004,-30160.3,0x37
1.32819,0,0,32747,35.9769,34551,37.9589,-34551,-37.9589,-1455,-1.59851,-1804,-1.98193,2000,2.19727,-508,-38.1,-5309,-5350,-357,1068000,-381.276,-30502.1,0x37
1.42699,0,0,29498,32.4075,31190,34.2664,-31190,-34.2664,-1395,-1.53259,-1692,-1.85889,2000,2.19727,-512,-38.4,-5325,-5344,-356,1068000,-380.208,-30416.6,0x37
1.52927,0,0,25948,28.5073,27694,30.4255,-27694,-30.4255,-1297,-1.42493,-1746,-1.91821,2000,2.19727,-512,-38.4,-5283,-5300,-353,1068000,-377.004,-30160.3,0x37
1.62599,0,0,22562,24.7874,24163,26.5463,-24163,-26.5463,-1243,-1.3656,-1601,-1.75891,2000,2.19727,-505,-37.875,-5329,-5355,-357,1068000,-381.276,-30502.1,0x37
1.724,0,0,19326,21.2322,20817,22.8702,-20817,-22.8702,-1179,-1.29529,-1491,-1.63806,2000,2.19727,-512,-38.4,-5332,-5312,-354,1068000,-378.072,-30245.8,0x37
1.82199,0,0,15960,17.5342,17374,19.0876,-17374,-19.0876,-1071,-1.17664,-1414,-1.55347,2000,2.19727,-507,-38.025,-5166,-5143,-340,1068000,-363.12,-29049.6,0x37
1.91699,0,0,12937,14.213,14063,15.4501,-14063,-15.4501,-860,-0.944824,-1126,-1.23706,2000,2.19727,-473,-35.475,-4667,-4748,-315,1068000,-336.42,-26913.6,0x37
2.01407,0,0,10242,11.2522,11175,12.2772,-11175,-12.2772,-664,-0.729492,-933,-1.02502,2000,2.19727,-423,-31.725,-4444,-4385,-290,1068000,-309.72,-24777.6,0x37
2.11116,0,0,7824,8.5957,8551,9.39441,-8551,-9.39441,-489,-0.537231,-727,-0.798706,2000,2.19727,-371,-27.825,-4119,-4078,-270,1068000,-288.36,-23068.8,0x37
2.20934,0,0,5724,6.28857,6290,6.9104,-6290,-6.9104,-345,-0.379028,-566,-0.621826,2000,2.19727,-318,-23.85,-3810,-3800,-252,1068000,-269.136,-21530.9,0x37
2.30816,0,0,3970,4.36157,4326,4.75269,-4326,-4.75269,-180,-0.197754,-356,-0.391113,2000,2.19727,-276,-20.7,-3418,-3408,-224,1068000,-239.232,-19138.6,0x37
2.40612,0,0,2495,2.74109,2623,2.88171,-2623,-2.88171,9,0.0098877,-128,-0.140625,2000,2.19727,-226,-16.95,-2975,-3003,-197,1068000,-210.396,-16831.7,0x37
2.50118,0,0,1380,1.51611,1313,1.4425,-1313,-1.4425,188,0.206543,67,0.0736084,2000,2.19727,-176,-13.2,-2556,-2572,-169,1068000,-180.492,-14439.4,0x37
2.59714,0,0,614,0.674561,328,0.360352,-328,-0.360352,379,0.416382,286,0.314209,2000,2.19727,-131,-9.825,-2041,-2089,-137,1068000,-146.316,-11705.3,0x37
2.69402,0,0,151,0.165894,-344,-0.37793,344,0.37793,551,0.605347,495,0.543823,2000,2.19727,-79,-5.925,-1639,-1635,-106,1068000,-113.208,-9056.64,0x37
2.79002,0,0,0,0,-720,-0.791016,720,0.791016,752,0.826172,720,0.791016,2000,2.19727,-39,-2.925,-1074,-1099,-71,1068000,-75.828,-6066.24,0x437
