index,time_s,qd_rad,qd_deg,qd_dot_rad_s,qd_ddot_rad_s2,tau_inertia_Nm,tau_gravity_Nm,tau_total_Nm
0,0.000000,0.034907,2.000000,0.000000,0.000000,0.000000,0.105482,0.105482
1,0.005000,0.036619,2.098098,0.000000,0.000000,0.000000,0.110654,0.110654
2,0.010000,0.038331,2.196196,0.342427,0.000000,0.000000,0.115825,0.115825
3,0.015000,0.040043,2.294294,0.342427,-0.000000,-0.000000,0.120996,0.120996
4,0.020000,0.041755,2.392392,0.342427,0.000000,0.000000,0.126167,0.126167
5,0.025000,0.043467,2.490490,0.342427,-0.000000,-0.000000,0.131337,0.131337
6,0.030000,0.045179,2.588589,0.342427,-0.000000,-0.000000,0.136507,0.136507
7,0.035000,0.046892,2.686687,0.342427,0.000000,0.000000,0.141676,0.141676
8,0.040000,0.048604,2.784785,0.342427,-0.000000,-0.000000,0.146845,0.146845
9,0.045000,0.050316,2.882883,0.342427,-0.000000,-0.000000,0.152013,0.152013
10,0.050000,0.052028,2.980981,0.342427,-0.000000,-0.000000,0.157181,0.157181
11,0.055000,0.053740,3.079079,0.342427,0.000000,0.000000,0.162349,0.162349
12,0.060000,0.055452,3.177177,0.342427,-0.000000,-0.000000,0.167516,0.167516
13,0.065000,0.057164,3.275275,0.342427,0.000000,0.000000,0.172683,0.172683
14,0.070000,0.058876,3.373373,0.342427,-0.000000,-0.000000,0.177849,0.177849
15,0.075000,0.060589,3.471471,0.342427,0.000000,0.000000,0.183015,0.183015
16,0.080000,0.062301,3.569570,0.342427,-0.000000,-0.000000,0.188180,0.188180
17,0.085000,0.064013,3.667668,0.342427,-0.000000,-0.000000,0.193344,0.193344
18,0.090000,0.065725,3.765766,0.342427,0.000000,0.000000,0.198508,0.198508
19,0.095000,0.067437,3.863864,0.342427,-0.000000,-0.000000,0.203672,0.203672
20,0.100000,0.069149,3.961962,0.342427,-0.000000,-0.000000,0.208834,0.208834
21,0.105000,0.070861,4.060060,0.342427,0.000000,0.000000,0.213997,0.213997
22,0.110000,0.072574,4.158158,0.342427,-0.000000,-0.000000,0.219158,0.219158
23,0.115000,0.074286,4.256256,0.342427,-0.000000,-0.000000,0.224319,0.224319
24,0.120000,0.075998,4.354354,0.342427,0.000000,0.000000,0.229479,0.229479
25,0.125000,0.077710,4.452452,0.342427,0.000000,0.000000,0.234639,0.234639
26,0.130000,0.079422,4.550551,0.342427,-0.000000,-0.000000,0.239798,0.239798
27,0.135000,0.081134,4.648649,0.342427,-0.000000,-0.000000,0.244956,0.244956
28,0.140000,0.082846,4.746747,0.342427,0.000000,0.000000,0.250114,0.250114
29,0.145000,0.084558,4.844845,0.342427,0.000000,0.000000,0.255270,0.255270
30,0.150000,0.086271,4.942943,0.342427,-0.000000,-0.000000,0.260426,0.260426
31,0.155000,0.087983,5.041041,0.342427,0.000000,0.000000,0.265582,0.265582
32,0.160000,0.089695,5.139139,0.342427,-0.000000,-0.000000,0.270736,0.270736
33,0.165000,0.091407,5.237237,0.342427,0.000000,0.000000,0.275890,0.275890
34,0.170000,0.093119,5.335335,0.342427,-0.000000,-0.000000,0.281042,0.281042
