index,time_sec,motor_count,link_angle_rad,link_angle_deg,torque_cmd_Nm,torque_cmd_permille,torque_actual_Nm,torque_actual_permille,velocity_rpm
0,0,880,-0.0168738,-0.966797,0.156416,146,0.152724,143,17
1,0.01,952,-0.0182544,-1.0459,0.152976,143,0.14952,140,44
2,0.02,1056,-0.0202485,-1.16016,0.145758,136,0.14418,135,53
3,0.03,1161,-0.0222619,-1.27551,0.138555,130,0.145248,136,52
4,0.04,1277,-0.0244862,-1.40295,0.131371,123,0.130296,122,59
5,0.05,1385,-0.026557,-1.52161,0.124215,116,0.124956,117,44
6,0.06,1479,-0.0283595,-1.62488,0.117092,110,0.115344,108,42
7,0.07,1560,-0.0299126,-1.71387,0.11001,103,0.111072,104,34
8,0.08,1629,-0.0312357,-1.78967,0.102975,96,0.103596,97,30
9,0.09,1689,-0.0323862,-1.85559,0.0959941,90,0.100392,94,28
10,0.1,1748,-0.0335175,-1.92041,0.0890738,83,0.092916,87,25
11,0.11,1786,-0.0342461,-1.96216,0.0822207,77,0.081168,76,17
12,0.12,1820,-0.0348981,-1.99951,0.0754413,71,0.076896,72,13
13,0.13,1841,-0.0353007,-2.02258,0.0687424,64,0.068352,64,7
14,0.14,1854,-0.03555,-2.03687,0.0621303,58,0.065148,61,5
15,0.15,1860,-0.0356651,-2.04346,0.0556115,52,0.057672,54,2
16,0.16,1861,-0.0356842,-2.04456,0.0491924,46,0.04806,45,1
17,0.17,1861,-0.0356842,-2.04456,0.0428794,40,0.044856,42,0
18,0.18,1861,-0.0356842,-2.04456,0.0366786,34,0.03738,35,0
19,0.19,1861,-0.0356842,-2.04456,0.0305963,29,0.030972,29,0
20,0.2,1861,-0.0356842,-2.04456,0.0246386,23,0.025632,24,0
21,0.21,1861,-0.0356842,-2.04456,0.0188114,18,0.022428,21,0
22,0.22,1860,-0.0356651,-2.04346,0.0131207,12,0.011748,11,0
23,0.23,1859,-0.0356459,-2.04236,0.00757235,7,0.009612,9,0
24,0.24,1858,-0.0356267,-2.04126,0.00217195,2,0.001068,1,-1
25,0.25,1857,-0.0356075,-2.04016,-0.0030749,-3,-0.002136,-2,-1
26,0.26,1855,-0.0355692,-2.03796,-0.00816277,-8,-0.008544,-8,-1
27,0.27,1853,-0.0355308,-2.03577,-0.0130864,-12,-0.014952,-14,-1
28,0.28,1850,-0.0354733,-2.03247,-0.0178405,-17,-0.01602,-15,-1
29,0.29,1846,-0.0353966,-2.02808,-0.0224202,-21,-0.025632,-24,-2
30,0.3,1838,-0.0352432,-2.01929,-0.0268206,-25,-0.025632,-24,-5
